"location","date","age_group","target","value"
"49","2023-11-18","0.5-0.99","cum hosp",3.034135
"47","2023-11-18","0.5-0.99","cum hosp",25.17114
"41","2023-11-18","0.5-0.99","cum hosp",0
"36","2023-11-18","0.5-0.99","cum hosp",60.773118
"35","2023-11-18","0.5-0.99","cum hosp",6.696845
"27","2023-11-18","0.5-0.99","cum hosp",12.3358275
"26","2023-11-18","0.5-0.99","cum hosp",34.10123
"24","2023-11-18","0.5-0.99","cum hosp",39.76585
"13","2023-11-18","0.5-0.99","cum hosp",9.933843
"09","2023-11-18","0.5-0.99","cum hosp",18.347505
"08","2023-11-18","0.5-0.99","cum hosp",11.6618285
"06","2023-11-18","0.5-0.99","cum hosp",56.969966
"US","2023-11-18","0.5-0.99","cum hosp",823.1757555
"49","2023-11-18","65-130","cum hosp",2.8364
"47","2023-11-18","65-130","cum hosp",41.513626
"41","2023-11-18","65-130","cum hosp",16.31356
"36","2023-11-18","65-130","cum hosp",138.979464
"35","2023-11-18","65-130","cum hosp",0
"27","2023-11-18","65-130","cum hosp",9.97532
"26","2023-11-18","65-130","cum hosp",26.32469
"24","2023-11-18","65-130","cum hosp",73.09463
"13","2023-11-18","65-130","cum hosp",115.15189
"09","2023-11-18","65-130","cum hosp",49.085532
"08","2023-11-18","65-130","cum hosp",15.538646
"06","2023-11-18","65-130","cum hosp",400.123555
"US","2023-11-18","65-130","cum hosp",2369.588932
"49","2023-11-18","0-130","cum hosp",16.88119
"49","2023-11-18","1-1.99","cum hosp",0
"47","2023-11-18","0-130","cum hosp",217.948817
"47","2023-11-18","1-1.99","cum hosp",14.495026
"41","2023-11-18","0-130","cum hosp",50.86398
"41","2023-11-18","1-1.99","cum hosp",9.381722
"36","2023-11-18","0-130","cum hosp",589.7157
"36","2023-11-18","1-1.99","cum hosp",78.279
"35","2023-11-18","0-130","cum hosp",37.801422
"35","2023-11-18","1-1.99","cum hosp",23.730633
"27","2023-11-18","0-130","cum hosp",102.897864
"27","2023-11-18","1-1.99","cum hosp",24.947292
"26","2023-11-18","0-130","cum hosp",210.673575
"26","2023-11-18","1-1.99","cum hosp",17.182797
"24","2023-11-18","0-130","cum hosp",226.92581
"24","2023-11-18","1-1.99","cum hosp",17.640984
"13","2023-11-18","0-130","cum hosp",293.097258
"13","2023-11-18","1-1.99","cum hosp",25.440921
"09","2023-11-18","0-130","cum hosp",152.085738
"09","2023-11-18","1-1.99","cum hosp",21.46005
"08","2023-11-18","0-130","cum hosp",133.486204
"08","2023-11-18","1-1.99","cum hosp",29.601621
"06","2023-11-18","0-130","cum hosp",1011.050326
"06","2023-11-18","1-1.99","cum hosp",81.828306
"US","2023-11-18","0-130","cum hosp",8305.00165
"US","2023-11-18","1-1.99","cum hosp",1087.411551
"49","2023-11-18","5-17","cum hosp",0
"47","2023-11-18","5-17","cum hosp",11.32714
"41","2023-11-18","5-17","cum hosp",2.523656
"36","2023-11-18","5-17","cum hosp",0
"35","2023-11-18","5-17","cum hosp",0
"27","2023-11-18","5-17","cum hosp",5.784216
"26","2023-11-18","5-17","cum hosp",25.17232
"24","2023-11-18","5-17","cum hosp",8.970696
"13","2023-11-18","5-17","cum hosp",22.538868
"09","2023-11-18","5-17","cum hosp",9.340191
"08","2023-11-18","5-17","cum hosp",4.532745
"06","2023-11-18","5-17","cum hosp",76.536348
"US","2023-11-18","5-17","cum hosp",431.284336
"49","2023-11-18","18-49","cum hosp",0
"47","2023-11-18","18-49","cum hosp",5.821762
"41","2023-11-18","18-49","cum hosp",1.811933
"36","2023-11-18","18-49","cum hosp",57.581699
"35","2023-11-18","18-49","cum hosp",0
"27","2023-11-18","18-49","cum hosp",2.346543
"26","2023-11-18","18-49","cum hosp",20.2278
"24","2023-11-18","18-49","cum hosp",7.542789
"13","2023-11-18","18-49","cum hosp",27.865458
"09","2023-11-18","18-49","cum hosp",8.816004
"08","2023-11-18","18-49","cum hosp",7.904154
"06","2023-11-18","18-49","cum hosp",51.200493
"US","2023-11-18","18-49","cum hosp",556.30628
"49","2023-11-18","2-4","cum hosp",0
"47","2023-11-18","2-4","cum hosp",21.98862
"41","2023-11-18","2-4","cum hosp",4.772914
"36","2023-11-18","2-4","cum hosp",106.691686
"35","2023-11-18","2-4","cum hosp",0
"27","2023-11-18","2-4","cum hosp",10.708809
"26","2023-11-18","2-4","cum hosp",51.312924
"24","2023-11-18","2-4","cum hosp",15.574842
"13","2023-11-18","2-4","cum hosp",23.02128
"09","2023-11-18","2-4","cum hosp",15.54168
"08","2023-11-18","2-4","cum hosp",38.452128
"06","2023-11-18","2-4","cum hosp",134.732936
"US","2023-11-18","2-4","cum hosp",1047.777339
