"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
21.4066666667,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
37.9,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
55.3789860672,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
70.6380655416,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
99.9220371006,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
125.0003304459,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
181.3280100603,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
298.6,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
417.7,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
463.15,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
499.2133833627,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
58.71,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
129.35,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
174.5282116008,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
225.4500647877,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
284.8858213238,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
345.7843609252,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
803,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1139.5667213372,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1154.9004519571,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1184.6302572991,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1195.4944591869,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
12.1266666667,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
