"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
0.9765135614,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
1.3871783934,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
2.1576914702,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
3.0410643939,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
5.5816330422,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
11.53124799,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
20.309847578,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
29.2081837638,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
35.0152665595,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
40.9099140707,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
60.8788719329,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
2.906118614,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
4.8865079094,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
6.1536189644,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
9.1040584004,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
17.0633949248,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
48.002182059,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
112.2772958352,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
154.6670318493,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
196.9685986699,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
221.0205669688,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
231.107046795,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
0.5869163956,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
1.0098845793,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
1.5531950206,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
2.3379294308,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
4.1701098223,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
9.7749938222,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
22.689848316,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
36.0939924566,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
43.268830422,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
48.0103088736,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
53.9633201198,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
0.671714724,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
0.9683662638,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
1.4214884506,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
2.0782754257,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
3.8554795317,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
11.5357480786,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
33.459703817,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
51.8589380292,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
65.2,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
77.1,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
82.54,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
0.3690133446,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
0.6721347594,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
0.9193387718,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
1.3864342644,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
2.5968318252,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
10.9889797026,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
18.6873440842,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
23.8435305581,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
25.3700072583,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
28.151365762,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
31.554200789,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
0,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
0,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
0,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
0,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
0,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
11.53124799,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
36.0127521088,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
52.0639593442,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
56.0604773624,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
58.0394325486,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
61.137914549,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
0,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
48.002182059,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
159.3195775535,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
201.1416632156,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
223.7965519219,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
231.2073978914,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
237.5478717566,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
9.7749938222,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
32.6326425277,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
44.8099505277,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
48.1067990311,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
51.1998418639,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
54.712865164,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
0,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
0,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
0,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
0,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
11.5357480786,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
