"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
21.2966666667,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
38.55,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
48.7794920662,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
60.3247157785,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
75.7388726433,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
84.6401278436,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
93.6360139947,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
102.7578051761,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
107.3396120869,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
110.1672423529,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
113.9351907778,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
53.1315780483,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
115.856926051,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
159.2480056245,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
200.5974018139,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
275.2071344006,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
311.7387104763,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
364.7585889532,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
401.4795093854,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
420.1572457002,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
438.8145306468,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
447.3057282518,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
15.1066666667,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
27.95,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
38.1862764483,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
50.1902800936,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
61.6108134415,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
