"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
5.583160808,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
16.9202371106,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
24.8370453,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
29.9784458581,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
34.6386502062,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
49.2861044671,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
67.7220764694,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
76.1492281255,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
84.6848895562,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
86.2969247686,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
91.845207608,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
12.5871332993,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
37.7151694105,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
59.652602265,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
67.6660235359,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
74.9165527598,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
131.7176328923,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
213.4254759159,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
231.0498851144,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
248.050720428,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
258.8760541667,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
268.4822583889,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
2.265209424,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
8.0792518731,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
11.9966035778,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
12.7600915922,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
14.1629132348,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
31.0981686192,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
50.084375,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
