"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
5.6266666667,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
7.6613067977,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
9.9087675573,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
13.4972422771,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
20.5682729954,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
30.6993430106,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
46.3151687511,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
76,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
100.2514479791,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
108.7575199146,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
118.392314738,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
12.4734347871,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
26.5891833544,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
32.6293531944,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
40.8111127631,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
58.3453415866,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
93.932326238,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
155.740424984,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
210.8756931622,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
224.6002451679,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
241.7072701705,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
265.5009566454,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
3.4836949001,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
6.6611817269,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
8.1190390405,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
9.5815297612,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
14.28192815,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
26.5868872055,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
36.4402209042,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
40.4425572408,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
43.9190143064,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
45.9749400521,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
49.9712080807,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
0.6666666667,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
6.75,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
9.2866963162,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
10.9367481158,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
15.8256942504,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
28.796626581,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
43.8665415955,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
49.4857661677,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
53.950989088,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
58.7388321519,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
62.74206,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
0.2210173213,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
0.8005436368,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
1.2662500731,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
1.7513951086,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
3.1613308174,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
6.5365688766,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
11.8754754144,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
18.2527369694,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
25.2227646108,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
30.9424249872,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
35.6306711974,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","65-130"
0,0.01,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
0,0.025,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
0,0.05,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
0,0.1,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
0,0.25,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
30.6993430106,0.5,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
74.6068397207,0.75,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
91.2336369744,0.9,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
100.3019794732,0.95,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
114.5835688294,0.975,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
126.12,0.99,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-0.99"
0,0.01,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
0,0.025,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
0,0.05,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
0,0.1,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
0,0.25,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
93.932326238,0.5,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
182.1266883597,0.75,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
225.6724148768,0.9,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
280.7584664239,0.95,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
411.616529535,0.975,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
470.672753227,0.99,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","0-130"
0,0.01,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
0,0.025,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
0,0.05,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
0,0.1,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
0,0.25,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
25.4006232378,0.5,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
39.5745931405,0.75,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
83,0.9,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
116.8,0.95,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
164,0.975,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
194.14,0.99,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","1-4"
0,0.01,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
0,0.025,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
0,0.05,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
0,0.1,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
0,0.25,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
28.4546477451,0.5,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
42.5902542292,0.75,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
53.8078794644,0.9,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
72.320398587,0.95,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
108,0.975,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
122.55,0.99,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","5-64"
0,0.01,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
0,0.025,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
0,0.05,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
0,0.1,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
0,0.25,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
6.5365688766,0.5,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
21.9981295951,0.75,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
28.3154337844,0.9,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
30.8697903477,0.95,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
34.0258555035,0.975,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
36.6610161463,0.99,2,2023-11-18,1,1,"26","Ensemble_LOP_untrimmed","65-130"
5.4060316666,0.01,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
8.1237075,0.025,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
9.3329541667,0.05,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
14.0675583334,0.1,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
20.9301916666,0.25,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
33.2182166666,0.5,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
48.559025,0.75,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
71.0586156562,0.9,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
77.7079924573,0.95,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
83.3140252651,0.975,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
87.5022434101,0.99,3,2023-11-18,1,1,"26","Ensemble","0-0.99"
15.7138986666,0.01,3,2023-11-18,1,1,"26","Ensemble","0-130"
23.8935479653,0.025,3,2023-11-18,1,1,"26","Ensemble","0-130"
32.5086298241,0.05,3,2023-11-18,1,1,"26","Ensemble","0-130"
44.5688543936,0.1,3,2023-11-18,1,1,"26","Ensemble","0-130"
67.5078234976,0.25,3,2023-11-18,1,1,"26","Ensemble","0-130"
111.9685721035,0.5,3,2023-11-18,1,1,"26","Ensemble","0-130"
151.8764152097,0.75,3,2023-11-18,1,1,"26","Ensemble","0-130"
174.3342292506,0.9,3,2023-11-18,1,1,"26","Ensemble","0-130"
189.8232475852,0.95,3,2023-11-18,1,1,"26","Ensemble","0-130"
202.6025403117,0.975,3,2023-11-18,1,1,"26","Ensemble","0-130"
219.608474928,0.99,3,2023-11-18,1,1,"26","Ensemble","0-130"
3.7319425,0.01,3,2023-11-18,1,1,"26","Ensemble","1-4"
7.19104375,0.025,3,2023-11-18,1,1,"26","Ensemble","1-4"
13.36181875,0.05,3,2023-11-18,1,1,"26","Ensemble","1-4"
15.6908,0.1,3,2023-11-18,1,1,"26","Ensemble","1-4"
21.6723327785,0.25,3,2023-11-18,1,1,"26","Ensemble","1-4"
25.5919521746,0.5,3,2023-11-18,1,1,"26","Ensemble","1-4"
31.6922657641,0.75,3,2023-11-18,1,1,"26","Ensemble","1-4"
36.9077071532,0.9,3,2023-11-18,1,1,"26","Ensemble","1-4"
39.653845026,0.95,3,2023-11-18,1,1,"26","Ensemble","1-4"
42.752359904,0.975,3,2023-11-18,1,1,"26","Ensemble","1-4"
46.2732710631,0.99,3,2023-11-18,1,1,"26","Ensemble","1-4"
4.88228,0.01,3,2023-11-18,1,1,"26","Ensemble","5-64"
5.4811875,0.025,3,2023-11-18,1,1,"26","Ensemble","5-64"
8.8201,0.05,3,2023-11-18,1,1,"26","Ensemble","5-64"
10.78665,0.1,3,2023-11-18,1,1,"26","Ensemble","5-64"
15.0725,0.25,3,2023-11-18,1,1,"26","Ensemble","5-64"
29.254,0.5,3,2023-11-18,1,1,"26","Ensemble","5-64"
39.9687196208,0.75,3,2023-11-18,1,1,"26","Ensemble","5-64"
48.2287692143,0.9,3,2023-11-18,1,1,"26","Ensemble","5-64"
53.1168963374,0.95,3,2023-11-18,1,1,"26","Ensemble","5-64"
58.4537143492,0.975,3,2023-11-18,1,1,"26","Ensemble","5-64"
65.7132997655,0.99,3,2023-11-18,1,1,"26","Ensemble","5-64"
0.43968,0.01,3,2023-11-18,1,1,"26","Ensemble","65-130"
0.773442991,0.025,3,2023-11-18,1,1,"26","Ensemble","65-130"
1.2615295777,0.05,3,2023-11-18,1,1,"26","Ensemble","65-130"
1.7631068558,0.1,3,2023-11-18,1,1,"26","Ensemble","65-130"
3.2612610653,0.25,3,2023-11-18,1,1,"26","Ensemble","65-130"
6.732146914,0.5,3,2023-11-18,1,1,"26","Ensemble","65-130"
12.4538372938,0.75,3,2023-11-18,1,1,"26","Ensemble","65-130"
19.2481323054,0.9,3,2023-11-18,1,1,"26","Ensemble","65-130"
23.0989599936,0.95,3,2023-11-18,1,1,"26","Ensemble","65-130"
24.9633948576,0.975,3,2023-11-18,1,1,"26","Ensemble","65-130"
28.027036737,0.99,3,2023-11-18,1,1,"26","Ensemble","65-130"
0,0.01,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.025,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.05,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.1,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.25,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.5,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.75,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.9,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.95,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.975,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.99,4,2023-11-18,1,1,"26","team2-modelb","0-0.99"
0,0.01,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.025,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.05,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.1,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.25,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.5,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.75,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.9,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.95,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.975,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.99,4,2023-11-18,1,1,"26","team2-modelb","0-130"
0,0.01,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.025,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.05,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.1,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.25,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.5,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.75,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.9,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.95,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.975,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.99,4,2023-11-18,1,1,"26","team2-modelb","1-4"
0,0.01,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.025,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.05,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.1,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.25,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.5,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.75,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.9,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.95,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.975,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.99,4,2023-11-18,1,1,"26","team2-modelb","5-64"
0,0.01,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.025,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.05,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.1,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.25,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.5,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.75,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.9,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.95,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.975,4,2023-11-18,1,1,"26","team2-modelb","65-130"
0,0.99,4,2023-11-18,1,1,"26","team2-modelb","65-130"
2.98,0.01,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
6.95,0.025,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
8,0.05,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
14.9,0.1,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
25.25,0.25,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
43,0.5,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
63.5,0.75,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
100.4,0.9,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
123.05,0.95,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
130.725,0.975,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
150.82,0.99,5,2023-11-18,1,1,"26","team3-modelc","0-0.99"
3.98,0.01,5,2023-11-18,1,1,"26","team3-modelc","0-130"
16.7201521806,0.025,5,2023-11-18,1,1,"26","team3-modelc","0-130"
32.3353371481,0.05,5,2023-11-18,1,1,"26","team3-modelc","0-130"
50.4002387873,0.1,5,2023-11-18,1,1,"26","team3-modelc","0-130"
82.2171094952,0.25,5,2023-11-18,1,1,"26","team3-modelc","0-130"
152.166319207,0.5,5,2023-11-18,1,1,"26","team3-modelc","0-130"
246.9244494251,0.75,5,2023-11-18,1,1,"26","team3-modelc","0-130"
411.616529535,0.9,5,2023-11-18,1,1,"26","team3-modelc","0-130"
445.7749876225,0.95,5,2023-11-18,1,1,"26","team3-modelc","0-130"
508.0194016338,0.975,5,2023-11-18,1,1,"26","team3-modelc","0-130"
548.6989291617,0.99,5,2023-11-18,1,1,"26","team3-modelc","0-130"
0.99,0.01,5,2023-11-18,1,1,"26","team3-modelc","1-4"
7.85,0.025,5,2023-11-18,1,1,"26","team3-modelc","1-4"
18.95,0.05,5,2023-11-18,1,1,"26","team3-modelc","1-4"
22.9,0.1,5,2023-11-18,1,1,"26","team3-modelc","1-4"
38.75,0.25,5,2023-11-18,1,1,"26","team3-modelc","1-4"
67.5,0.5,5,2023-11-18,1,1,"26","team3-modelc","1-4"
109,0.75,5,2023-11-18,1,1,"26","team3-modelc","1-4"
164,0.9,5,2023-11-18,1,1,"26","team3-modelc","1-4"
186.25,0.95,5,2023-11-18,1,1,"26","team3-modelc","1-4"
205.975,0.975,5,2023-11-18,1,1,"26","team3-modelc","1-4"
233.3,0.99,5,2023-11-18,1,1,"26","team3-modelc","1-4"
0,0.01,5,2023-11-18,1,1,"26","team3-modelc","5-64"
1,0.025,5,2023-11-18,1,1,"26","team3-modelc","5-64"
6.75,0.05,5,2023-11-18,1,1,"26","team3-modelc","5-64"
9.8,0.1,5,2023-11-18,1,1,"26","team3-modelc","5-64"
14,0.25,5,2023-11-18,1,1,"26","team3-modelc","5-64"
33,0.5,5,2023-11-18,1,1,"26","team3-modelc","5-64"
60.5,0.75,5,2023-11-18,1,1,"26","team3-modelc","5-64"
108,0.9,5,2023-11-18,1,1,"26","team3-modelc","5-64"
120.25,0.95,5,2023-11-18,1,1,"26","team3-modelc","5-64"
126,0.975,5,2023-11-18,1,1,"26","team3-modelc","5-64"
163.06,0.99,5,2023-11-18,1,1,"26","team3-modelc","5-64"
0,0.01,5,2023-11-18,1,1,"26","team3-modelc","65-130"
0.331525982,0.025,5,2023-11-18,1,1,"26","team3-modelc","65-130"
1.0448091554,0.05,5,2023-11-18,1,1,"26","team3-modelc","65-130"
1.5940037115,0.1,5,2023-11-18,1,1,"26","team3-modelc","65-130"
3.5496721306,0.25,5,2023-11-18,1,1,"26","team3-modelc","65-130"
7.635143828,0.5,5,2023-11-18,1,1,"26","team3-modelc","65-130"
15.9735245875,0.75,5,2023-11-18,1,1,"26","team3-modelc","65-130"
25.2227646108,0.9,5,2023-11-18,1,1,"26","team3-modelc","65-130"
30.9424249872,0.95,5,2023-11-18,1,1,"26","team3-modelc","65-130"
34.3715422152,0.975,5,2023-11-18,1,1,"26","team3-modelc","65-130"
38.1489291617,0.99,5,2023-11-18,1,1,"26","team3-modelc","65-130"
7.8320633333,0.01,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
9.297415,0.025,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
10.6659083333,0.05,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
13.2351166667,0.1,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
16.6103833333,0.25,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
23.4364333333,0.5,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
33.61805,0.75,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
41.8657833333,0.9,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
46.658465,0.95,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
50.0774,0.975,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
52.9288436667,0.99,6,2023-11-18,1,1,"26","team4-modeld","0-0.99"
27.4477973333,0.01,6,2023-11-18,1,1,"26","team4-modeld","0-130"
31.06694375,0.025,6,2023-11-18,1,1,"26","team4-modeld","0-130"
32.6819225,0.05,6,2023-11-18,1,1,"26","team4-modeld","0-130"
38.73747,0.1,6,2023-11-18,1,1,"26","team4-modeld","0-130"
52.7985375,0.25,6,2023-11-18,1,1,"26","team4-modeld","0-130"
71.770825,0.5,6,2023-11-18,1,1,"26","team4-modeld","0-130"
97.5320125,0.75,6,2023-11-18,1,1,"26","team4-modeld","0-130"
124.0682133333,0.9,6,2023-11-18,1,1,"26","team4-modeld","0-130"
137.939225,0.95,6,2023-11-18,1,1,"26","team4-modeld","0-130"
144.29384875,0.975,6,2023-11-18,1,1,"26","team4-modeld","0-130"
164.5365436667,0.99,6,2023-11-18,1,1,"26","team4-modeld","0-130"
6.473885,0.01,6,2023-11-18,1,1,"26","team4-modeld","1-4"
6.5320875,0.025,6,2023-11-18,1,1,"26","team4-modeld","1-4"
7.7736375,0.05,6,2023-11-18,1,1,"26","team4-modeld","1-4"
