"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
2.6199559175,0.01,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
5.884926363,0.025,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
7.9795611702,0.05,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
15.9591223404,0.1,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
25.6024115714,0.25,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
37.4368885396,0.5,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
49.5760952894,0.75,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
81.3915239362,0.9,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
127.6729787234,0.95,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
140.0412985372,0.975,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
161.5927633311,0.99,1,2023-11-18,1,1,"27","Ensemble_LOP","0-0.99"
7.2365494459,0.01,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
14.9400360705,0.025,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
23.8790501995,0.05,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
33.9570784574,0.1,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
64.6143055042,0.25,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
106.1595407316,0.5,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
132.1168410674,0.75,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
192.8758867233,0.9,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
246.9123234707,0.95,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
306.0704238697,0.975,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
363.2454834995,0.99,1,2023-11-18,1,1,"27","Ensemble_LOP","0-130"
2.3133333333,0.01,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
3,0.025,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
5,0.05,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
9,0.1,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
16.5097434756,0.25,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
24.2141549384,0.5,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
31.7625118483,0.75,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
41.2626449526,0.9,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
53.3,0.95,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
67.15,0.975,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
82.6633333333,0.99,1,2023-11-18,1,1,"27","Ensemble_LOP","1-4"
0.6666666667,0.01,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
1.95,0.025,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
4,0.05,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
6.8,0.1,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
15.1341043995,0.25,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
31.8695690282,0.5,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
47.0526855786,0.75,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
56.8387700192,0.9,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
74.6222246947,0.95,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
82.1005711863,0.975,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
105.9646126706,0.99,1,2023-11-18,1,1,"27","Ensemble_LOP","5-64"
0,0.01,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
0,0.025,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
0,0.05,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
0.925,0.1,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
2.423880009,0.25,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
5.6435313163,0.5,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
9.2283135246,0.75,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
14.0913882054,0.9,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
17.219822411,0.95,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
21,0.975,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
26.26,0.99,1,2023-11-18,1,1,"27","Ensemble_LOP","65-130"
0,0.01,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
0,0.025,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
0,0.05,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
0,0.1,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
0,0.25,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
35.9232174284,0.5,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
65.0892978961,0.75,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
132.9953578979,0.9,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
163.8717302733,0.95,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
184.5104512273,0.975,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
192.2207864435,0.99,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-0.99"
0,0.01,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
0,0.025,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
0,0.05,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
0,0.1,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
0,0.25,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
96.2998341728,0.5,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
154.4554168714,0.75,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
297.1683956105,0.9,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
384.067101044,0.95,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
428.3234263551,0.975,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
453.3957375067,0.99,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","0-130"
0,0.01,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
0,0.025,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
0,0.05,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
0,0.1,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
0,0.25,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
22.6282958481,0.5,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
35.0934118062,0.75,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
61.0586906422,0.9,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
74.1323277841,0.95,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
83.8795029202,0.975,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
89.0952432536,0.99,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","1-4"
0,0.01,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
0,0.025,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
0,0.05,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
0,0.1,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
0,0.25,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
27.6636723072,0.5,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
47.9409587948,0.75,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
73.5449282994,0.9,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
91.5665541799,0.95,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
97.4184125158,0.975,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
105.7100782489,0.99,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","5-64"
0,0.01,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
0,0.025,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
0,0.05,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
0,0.1,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
0,0.25,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
5.5553669264,0.5,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
14.0754416586,0.75,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
34.0180874267,0.9,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
58.7922085946,0.95,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
68.3933919971,0.975,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
75.2564655909,0.99,2,2023-11-18,1,1,"27","Ensemble_LOP_untrimmed","65-130"
10.9093756948,0.01,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
12.0805024241,0.025,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
14.0179673481,0.05,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
16.3577689184,0.1,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
24.7640938165,0.25,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
37.2908602061,0.5,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
56.9891830729,0.75,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
89.1933443617,0.9,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
100.1160109352,0.95,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
110.0284213204,0.975,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
124.1314285226,0.99,3,2023-11-18,1,1,"27","Ensemble","0-0.99"
25.5336843374,0.01,3,2023-11-18,1,1,"27","Ensemble","0-130"
34.5136134106,0.025,3,2023-11-18,1,1,"27","Ensemble","0-130"
40.6685630353,0.05,3,2023-11-18,1,1,"27","Ensemble","0-130"
49.4538834331,0.1,3,2023-11-18,1,1,"27","Ensemble","0-130"
67.9551000665,0.25,3,2023-11-18,1,1,"27","Ensemble","0-130"
93.6497643727,0.5,3,2023-11-18,1,1,"27","Ensemble","0-130"
