"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0.3335649319,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
1.6521386213,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
4.6693184998,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
11.5482042602,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
19.0790955913,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
24.2295816216,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
29.9427600886,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
38.5077339258,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
48.1431939272,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0.3166666667,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
0.5945425092,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
1.2403849253,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
4.1977467999,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
15.1798688256,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
31.3461063965,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
56.0187219294,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
66.3201239161,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
79.3257508431,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
98.1523396628,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
116.7486480254,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0.4948884194,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
3.1632563575,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
7.1261912545,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
10.9280068497,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
14.5104523753,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
17.0717214944,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
19.6669188601,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
22.1527584156,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0.1378949987,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
1.3684707312,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
3.4123227665,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
6.8421502152,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
11.767743461,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
15.6018101176,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
20.1338880077,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
23.6158102879,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","65-130"
