"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
13.8217273704,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
27.5613353061,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
42.9587293318,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
56.6624100147,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
96.1497952702,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
131.1572490703,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
160.5384329535,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
246.6662522923,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
292.5431074646,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
304.0079097105,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
326.3703631122,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
30.3107215404,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
73.6028554298,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
104.601648819,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
156.5406330579,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
320.2995091703,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
440.1279325654,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
531.0930101555,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
595.2351870641,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
615.5063119116,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
624.8667403091,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
657.3479939705,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
8.7698066799,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
29.150064035,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
37.1812041263,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
52.3850530304,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
77.3108912738,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
104.876300937,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
114.7526286213,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
122.9296304383,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
130.750111013,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
140.5137,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
154.5737241667,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
3.9532614844,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
5.9621874084,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
15.0545232063,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
22.1594632014,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
57.3860538063,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
96.6665605119,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
108.663095882,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
