"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
12.23,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
19.2955206315,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
21.4425828331,0.05,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
24.0287788444,0.1,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
31.1185491644,0.25,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
40.7362856404,0.5,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
76.5,0.75,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
108.2,0.9,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
119,0.95,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
127,0.975,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
131.71,0.99,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
19.7552864671,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
38.9908404693,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
53.6612828841,0.05,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
71.3912192772,0.1,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
93.4569237942,0.25,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
120.9621224994,0.5,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
179.8636050733,0.75,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
271.9055187079,0.9,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
304.931770395,0.95,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
314.5716514292,0.975,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
323.3815689944,0.99,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
4.64,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
7.95,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
13,0.05,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
17.5575126989,0.1,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
24.0349081982,0.25,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
32.9071347408,0.5,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
45.7371339869,0.75,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
64.4,0.9,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
72.1,0.95,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
83,0.975,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
89.7433333333,0.99,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
