"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
249.2166666667,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
567.2,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
830.4,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1104,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1660.241840878,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1808.3236772397,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
2322.6855109251,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
3193.2956621939,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
3918.1787490893,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
4001.2938183026,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
4242.4896312626,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
498.08,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
1411.5,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
2184.1,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
3288.2,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
5864.8495230375,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
6360.3032891873,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
8595.2399705099,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9255.5311711361,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9520.3208350939,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9930.4791126539,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
10314.8832873643,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
124.64,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
342,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
570,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
896.8,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1450.8511276166,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1637.4764771056,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1956.1376899908,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2102.5226606467,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2210.0236513667,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2281.4109,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2548.7685658333,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
74.7666666667,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
232,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
502,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
764.2,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
1508.1863178873,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
1694.3133619946,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2064,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2546.1866,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2781.4095,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
3172.2745,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
3789.9653533333,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
38.6666666667,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
193.05,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
312,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
415.6521416539,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
487.5463631529,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
604.8574275142,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1479.5,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1640.4985134857,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1697.5658482315,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1735.9124163796,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1806.4129898327,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
0,0.01,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
0,0.025,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
0,0.05,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
0,0.1,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
0,0.25,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
1808.3236772397,0.5,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
3086.3746282045,0.75,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
3750.6653464322,0.9,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
3926.8274100035,0.95,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
4240.3619179603,0.975,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
4726.37,0.99,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-0.99"
0,0.01,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
0,0.025,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
0,0.05,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
0,0.1,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
0,0.25,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
6360.3032891873,0.5,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
8519.8799601933,0.75,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
10100.7971406731,0.9,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
14214.6,0.95,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
18700.1,0.975,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
21602,0.99,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","0-130"
0,0.01,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
0,0.025,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
0,0.05,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
0,0.1,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
0,0.25,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
1556.0488625482,0.5,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
1953.9389074046,0.75,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
2334.5235066325,0.9,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
2965,0.95,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
3322.2,0.975,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
4081.3,0.99,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","1-4"
0,0.01,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
0,0.025,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
0,0.05,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
0,0.1,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
0,0.25,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
1694.3133619946,0.5,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
2353.598378695,0.75,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
3129.3194027756,0.9,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
4444.8,0.95,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
6447.8,0.975,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
7596.4,0.99,2,2023-11-18,1,1,"US","Ensemble_LOP_untrimmed","5-64"
