"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
62.3364692222,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
74.6429716667,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
84.56225,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
93.9739446635,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
107.2898878989,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
154.3777271761,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
190.9431350797,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
298.6,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
417.7,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
463.15,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
499.2133833627,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","0-0.99"
173.1574765556,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
191.88565,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
234.9730783333,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
261.8093633538,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
312.3470556465,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
437.5342879984,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
803,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1139.5667213372,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1154.9004519571,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1184.6302572991,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
1195.4944591869,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","0-130"
34.49029,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
36.914025,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
44.423775,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
51.2333523631,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
68.158682071,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
106.9112965716,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
134,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
246.2,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
295.266645592,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
297.7192185552,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
313.0007126044,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","1-4"
52.8529666667,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
53.6335,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
58,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
63.4327267787,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
83.354029131,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
132.3021093488,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
182.0710590835,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
190.5191349083,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
194.8720882439,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
200.7565892035,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
203.3851927121,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","5-64"
12.2333333333,0.01,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
28.9,0.025,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
42.6612838985,0.05,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
51.4521849492,0.1,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
70.5773125747,0.25,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
92.3784972176,0.5,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
171.6527006426,0.75,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
178.9154708041,0.9,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
182.5221475755,0.95,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
187.8217423679,0.975,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
192.6295414629,0.99,1,2023-11-18,1,1,"06","Ensemble_LOP","65-130"
33.4,0.01,2,2023-11-18,1,1,"06","Ensemble_LOP_untrimmed","0-0.99"
55.3789860672,0.025,2,2023-11-18,1,1,"06","Ensemble_LOP_untrimmed","0-0.99"
