"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
6.4592741005,0.01,1,2023-11-18,1,1,"08","0-130"
7.5966230847,0.025,1,2023-11-18,1,1,"08","0-130"
8.5633374188,0.05,1,2023-11-18,1,1,"08","0-130"
10.0633277177,0.1,1,2023-11-18,1,1,"08","0-130"
15.4152979981,0.25,1,2023-11-18,1,1,"08","0-130"
22.6879967757,0.5,1,2023-11-18,1,1,"08","0-130"
67.9756559982,0.75,1,2023-11-18,1,1,"08","0-130"
124.6886453666,0.9,1,2023-11-18,1,1,"08","0-130"
155.2049086406,0.95,1,2023-11-18,1,1,"08","0-130"
163.8930539673,0.975,1,2023-11-18,1,1,"08","0-130"
189.1783178162,0.99,1,2023-11-18,1,1,"08","0-130"
6.0723143095,0.01,2,2023-11-18,1,1,"08","0-130"
7.1345692764,0.025,2,2023-11-18,1,1,"08","0-130"
8.0039725303,0.05,2,2023-11-18,1,1,"08","0-130"
9.251890254,0.1,2,2023-11-18,1,1,"08","0-130"
15.3608092892,0.25,2,2023-11-18,1,1,"08","0-130"
26.7215425305,0.5,2,2023-11-18,1,1,"08","0-130"
65.2382643383,0.75,2,2023-11-18,1,1,"08","0-130"
137.9138838929,0.9,2,2023-11-18,1,1,"08","0-130"
173.2974980454,0.95,2,2023-11-18,1,1,"08","0-130"
203.0079582942,0.975,2,2023-11-18,1,1,"08","0-130"
225.2288949683,0.99,2,2023-11-18,1,1,"08","0-130"
9.3963295144,0.01,3,2023-11-18,1,1,"08","0-130"
10.3511910714,0.025,3,2023-11-18,1,1,"08","0-130"
11.2365433821,0.05,3,2023-11-18,1,1,"08","0-130"
12.2542915605,0.1,3,2023-11-18,1,1,"08","0-130"
14.960044889,0.25,3,2023-11-18,1,1,"08","0-130"
21.7526409405,0.5,3,2023-11-18,1,1,"08","0-130"
75.64992434,0.75,3,2023-11-18,1,1,"08","0-130"
116.533164908,0.9,3,2023-11-18,1,1,"08","0-130"
134.6609986259,0.95,3,2023-11-18,1,1,"08","0-130"
153.0187637434,0.975,3,2023-11-18,1,1,"08","0-130"
171.5424784023,0.99,3,2023-11-18,1,1,"08","0-130"
21.142206079,0.01,4,2023-11-18,1,1,"08","0-130"
22.2841995209,0.025,4,2023-11-18,1,1,"08","0-130"
23.2072232351,0.05,4,2023-11-18,1,1,"08","0-130"
23.7832938182,0.1,4,2023-11-18,1,1,"08","0-130"
26.9232619546,0.25,4,2023-11-18,1,1,"08","0-130"
32.104284135,0.5,4,2023-11-18,1,1,"08","0-130"
138.1050700746,0.75,4,2023-11-18,1,1,"08","0-130"
199.6935429645,0.9,4,2023-11-18,1,1,"08","0-130"
214.895878583,0.95,4,2023-11-18,1,1,"08","0-130"
240.7284195462,0.975,4,2023-11-18,1,1,"08","0-130"
