"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
1.98,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
3,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
5,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
8,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
16.5,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
34.7411673646,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
40.7558642511,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
42.3698578614,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
43.1515663182,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
44.1660156209,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
60.8788719329,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","0-0.99"
9.1386640201,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
32.1819363909,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
36.745931619,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
53.3695212905,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
100.7621608393,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
137.3225093934,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
144.638465566,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
154.6670318493,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
196.9685986699,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
221.0205669688,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
231.107046795,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","0-130"
2.4809490959,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
5.3010207302,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
7.4963929517,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
9.4240368536,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
20.3473522976,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
32.2077496901,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
36.6281193577,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
38.3390249807,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
43.268830422,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
48.0103088736,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
53.9633201198,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","1-4"
1.6666666667,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
6.95,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
10,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
15.8,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
27.9028155487,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
31.0627473694,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
33.459703817,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
51.8589380292,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
65.2,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
77.1,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
82.54,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","5-64"
2.9643815908,0.01,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
8.2961264541,0.025,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
9.6968454067,0.05,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
12.3869329622,0.1,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
16.3633893125,0.25,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
22.0935605923,0.5,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
32.4629865669,0.75,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
34.6430965049,0.9,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
35.0726388065,0.95,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
37.4350545384,0.975,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
40.0648223314,0.99,1,2023-11-18,1,1,"09","Ensemble_LOP","65-130"
1.1596597392,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
2.1576914702,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
3.0410643939,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
4.7047735747,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
11.53124799,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
34.4529563886,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
42.2553224273,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
52.0639593442,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
56.0604773624,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
58.0394325486,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
61.137914549,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-0.99"
4.1361507672,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
6.1536189644,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
9.1040584004,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
14.7636019196,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
48.002182059,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
136.8466196487,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
159.3195775535,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
201.1416632156,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
223.7965519219,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
231.2073978914,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
237.5478717566,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","0-130"
0.8926858785,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
1.5531950206,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
2.3379294308,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
3.7464968998,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
9.7749938222,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
31.596494943,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
37.0148633743,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
44.8099505277,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
48.1067990311,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
51.1998418639,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
54.712865164,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","1-4"
0.8597070564,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
1.4214884506,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
2.0782754257,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
3.4046239571,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
11.5357480786,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
31.1311116993,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
62.1835310462,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
84.4120103681,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
95.254,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
103.7979,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
115.30117,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","5-64"
0.5535334437,0.01,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
0.9193387718,0.025,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
1.3864342644,0.05,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
2.2246648937,0.1,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
9.890065874,0.25,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
22.547793414,0.5,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
33.6702492168,0.75,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
38.1352514511,0.9,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
42.8857235219,0.95,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
54.3971545725,0.975,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
68.3237290004,0.99,2,2023-11-18,1,1,"09","Ensemble_LOP_untrimmed","65-130"
15.1610918333,0.01,3,2023-11-18,1,1,"09","Ensemble","0-0.99"
