"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
52.5074168889,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
63.1998983333,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
66.9373166667,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
75.6151666667,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
84.2876892413,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
100.1252209381,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
103.3059372249,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
107.5657443328,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
112.3787218805,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
114.0173771377,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
116.1036304597,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","0-0.99"
191.4003622222,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
223.4501058333,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
240.8649821665,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
262.0789563424,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
289.6816932107,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
321.8892570975,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
364.7585889532,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
401.4795093854,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
420.1572457002,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
438.8145306468,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
447.3057282518,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","0-130"
41.345785,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
48.170125,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
53.6929101096,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
58.3756477957,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
67.3509883426,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
79.3359455696,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
88.1159694944,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
90.6886122605,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
93.1282622552,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
95.0556254762,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
97.0566666667,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","1-4"
50.1252825071,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
52.7535343427,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
55.2622298843,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
57.8624686118,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
66.9772026158,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
73.5794311826,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
86.8298061462,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
109.4452023473,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
121.3554155439,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
129.8588785695,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
136.3790943825,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","5-64"
17.041147,0.01,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
23.9,0.025,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
33.8,0.05,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
41.0961729069,0.1,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
56.5388343404,0.25,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
60.160154697,0.5,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
72.8176905561,0.75,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
86.6742678385,0.9,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
90.5260917365,0.95,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
94.6043819039,0.975,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
97.4238030346,0.99,1,2023-11-18,1,1,"13","Ensemble_LOP","65-130"
34.12,0.01,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
48.7794920662,0.025,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
60.3247157785,0.05,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
72.0055258093,0.1,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
84.3559898374,0.25,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
100.0457074985,0.5,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
108.2276298154,0.75,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
134.724160937,0.9,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
145.8584823832,0.95,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
153.5574507663,0.975,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
161.6945908316,0.99,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-0.99"
96.7815991204,0.01,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
159.2480056245,0.025,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
200.5974018139,0.05,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
251.3281294641,0.1,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
294.9888332538,0.25,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
321.6907193795,0.5,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
359.2180522549,0.75,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
410.4033111589,0.9,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
433.9125904809,0.95,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
449.5843125898,0.975,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
467.0081154469,0.99,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","0-130"
24.84,0.01,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
38.1862764483,0.025,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
49.6949610067,0.05,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
57.858921613,0.1,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
68.1038511551,0.25,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
81.496650546,0.5,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
88.3149954271,0.75,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
96.1023923492,0.9,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
106.0791271434,0.95,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
116.0943048186,0.975,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
121.5251580062,0.99,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","1-4"
16.6742984753,0.01,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
32.7799110952,0.025,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
43.7780809389,0.05,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
55.6825761965,0.1,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
67.8248122502,0.25,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
74.5336067278,0.5,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
108.3361973002,0.75,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
125.1126403714,0.9,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
135.6638101219,0.95,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
145.6208,0.975,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
154.3275,0.99,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","5-64"
13.7968043896,0.01,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
21.2138575248,0.025,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
24.1312941538,0.05,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
27.0250129615,0.1,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
38.8678786828,0.25,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
59.4623114676,0.5,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
77.6094845633,0.75,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
97.5255365144,0.9,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
115,0.95,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
121.1,0.975,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
128.43,0.99,2,2023-11-18,1,1,"13","Ensemble_LOP_untrimmed","65-130"
62.4097086799,0.01,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
73.218600391,0.025,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
78.5448282797,0.05,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
82.2737970019,0.1,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
89.4725458333,0.25,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
93.71135,0.5,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
100.5099,0.75,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
107.332,0.9,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
110.918565,0.95,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
112.78856875,0.975,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
117.2255486666,0.99,3,2023-11-18,1,1,"13","Ensemble","0-0.99"
195.3363056798,0.01,3,2023-11-18,1,1,"13","Ensemble","0-130"
229.0236476174,0.025,3,2023-11-18,1,1,"13","Ensemble","0-130"
243.7422146188,0.05,3,2023-11-18,1,1,"13","Ensemble","0-130"
261.0735563162,0.1,3,2023-11-18,1,1,"13","Ensemble","0-130"
294.178121814,0.25,3,2023-11-18,1,1,"13","Ensemble","0-130"
328.7078651276,0.5,3,2023-11-18,1,1,"13","Ensemble","0-130"
359.892847679,0.75,3,2023-11-18,1,1,"13","Ensemble","0-130"
