"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
29.0348602388,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
30.1154535102,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
31.9032276673,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
34.8957793687,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
36.2848515421,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
49.2861044671,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
67.7220764694,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
76.1492281255,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
84.6848895562,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
86.2969247686,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
91.845207608,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","0-0.99"
61.187627057,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
63.6521145537,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
67.7158408936,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
91.3536472243,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
103.4841694149,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
131.7176328923,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
213.4254759159,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
231.0498851144,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
248.050720428,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
258.8760541667,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
268.4822583889,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","0-130"
11.1961882448,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
12.1765622466,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
18.8000883662,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
24.9739866763,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
26.8761981491,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
31.0981686192,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
50.084375,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
57.45385,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
61.77835,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
64.618725,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
69.1553166667,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","1-4"
8.2084109984,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
8.9781902521,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
12.4820530413,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
17.1137582579,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
21.7944689107,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
26.2619236466,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
49.6285841221,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
83.3706938987,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
93.9666,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
101.65055,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
114.9950066667,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","5-64"
8.025723,0.01,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
9.293805,0.025,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
9.97488,0.05,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
11.2776362686,0.1,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
14.2708006732,0.25,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
19.1249156816,0.5,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
20.2304098506,0.75,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
45.1752404326,0.9,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
55.4232581915,0.95,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
59.7427611218,0.975,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
62.3049852178,0.99,1,2023-11-18,1,1,"24","Ensemble_LOP","65-130"
13.1946803156,0.01,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
24.8370453,0.025,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
29.9784458581,0.05,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
33.6418673177,0.1,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
36.3044031436,0.25,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
43.9526405927,0.5,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
67.8973031647,0.75,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
85.8697531171,0.9,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
96.5540136036,0.95,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
121.0805958373,0.975,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
131.3724464835,0.99,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-0.99"
28.4073562834,0.01,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
59.652602265,0.025,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
67.6660235359,0.05,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
72.9119515874,0.1,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
101.8922516407,0.25,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
126.9204087588,0.5,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
212.9050343555,0.75,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
261.4371312736,0.9,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
326.2486526527,0.95,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
416.5596557688,0.975,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
479.9480789908,0.99,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","0-130"
5.8651705859,0.01,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","1-4"
11.9966035778,0.025,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","1-4"
12.7600915922,0.05,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","1-4"
13.7045952582,0.1,2,2023-11-18,1,1,"24","Ensemble_LOP_untrimmed","1-4"
