"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
8.8089644444,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
10.6659083333,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
14.9,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
21,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
26.7921337876,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
30.6993430106,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
46.3151687511,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
76,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
100.2514479791,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
108.7575199146,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
118.392314738,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","0-0.99"
29.8605616111,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
32.6819225,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
50.4002387873,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
62.1986278994,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
71.0088595495,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
93.932326238,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
155.740424984,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
210.8756931622,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
224.6002451679,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
241.7072701705,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
265.5009566454,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","0-130"
6.5219137317,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
18.95,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
22.9,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
25.4543703636,0.1,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
33.0816803652,0.25,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
37.9126398253,0.5,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
38.8384847258,0.75,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
40.4425572408,0.9,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
43.9190143064,0.95,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
45.9749400521,0.975,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
49.9712080807,0.99,1,2023-11-18,1,1,"26","Ensemble_LOP","1-4"
0.6666666667,0.01,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
6.75,0.025,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
9.2866963162,0.05,1,2023-11-18,1,1,"26","Ensemble_LOP","5-64"
