"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
23.7613131706,0.01,1,2023-11-18,1,1,"27","0-130"
29.1554241248,0.025,1,2023-11-18,1,1,"27","0-130"
37.7792120133,0.05,1,2023-11-18,1,1,"27","0-130"
51.5272524496,0.1,1,2023-11-18,1,1,"27","0-130"
74.5475812857,0.25,1,2023-11-18,1,1,"27","0-130"
117.9257728413,0.5,1,2023-11-18,1,1,"27","0-130"
205.0914395419,0.75,1,2023-11-18,1,1,"27","0-130"
269.6398703155,0.9,1,2023-11-18,1,1,"27","0-130"
314.8759084417,0.95,1,2023-11-18,1,1,"27","0-130"
376.4207367837,0.975,1,2023-11-18,1,1,"27","0-130"
411.300828972,0.99,1,2023-11-18,1,1,"27","0-130"
21.6889783071,0.01,2,2023-11-18,1,1,"27","0-130"
27.2861173939,0.025,2,2023-11-18,1,1,"27","0-130"
36.7589050565,0.05,2,2023-11-18,1,1,"27","0-130"
50.3502521478,0.1,2,2023-11-18,1,1,"27","0-130"
74.6441837586,0.25,2,2023-11-18,1,1,"27","0-130"
125.0421323582,0.5,2,2023-11-18,1,1,"27","0-130"
211.8951417686,0.75,2,2023-11-18,1,1,"27","0-130"
312.4519718177,0.9,2,2023-11-18,1,1,"27","0-130"
387.137040852,0.95,2,2023-11-18,1,1,"27","0-130"
418.6340493717,0.975,2,2023-11-18,1,1,"27","0-130"
439.8999302308,0.99,2,2023-11-18,1,1,"27","0-130"
30.1976509825,0.01,3,2023-11-18,1,1,"27","0-130"
32.3565138867,0.025,3,2023-11-18,1,1,"27","0-130"
38.649841132,0.05,3,2023-11-18,1,1,"27","0-130"
55.0647730046,0.1,3,2023-11-18,1,1,"27","0-130"
83.3585455005,0.25,3,2023-11-18,1,1,"27","0-130"
132.9633925436,0.5,3,2023-11-18,1,1,"27","0-130"
190.6679599263,0.75,3,2023-11-18,1,1,"27","0-130"
258.8018840954,0.9,3,2023-11-18,1,1,"27","0-130"
314.7093106191,0.95,3,2023-11-18,1,1,"27","0-130"
341.536745371,0.975,3,2023-11-18,1,1,"27","0-130"
361.2946603517,0.99,3,2023-11-18,1,1,"27","0-130"
46.2510586466,0.01,4,2023-11-18,1,1,"27","0-130"
57.9664835067,0.025,4,2023-11-18,1,1,"27","0-130"
74.5452658326,0.05,4,2023-11-18,1,1,"27","0-130"
84.645911566,0.1,4,2023-11-18,1,1,"27","0-130"
134.2837688531,0.25,4,2023-11-18,1,1,"27","0-130"
214.5284323369,0.5,4,2023-11-18,1,1,"27","0-130"
338.5658459347,0.75,4,2023-11-18,1,1,"27","0-130"
411.5907645135,0.9,4,2023-11-18,1,1,"27","0-130"
435.3686140351,0.95,4,2023-11-18,1,1,"27","0-130"
446.6969045243,0.975,4,2023-11-18,1,1,"27","0-130"
463.1669611062,0.99,4,2023-11-18,1,1,"27","0-130"
38.3329167313,0.01,5,2023-11-18,1,1,"27","0-130"
40.1022506344,0.025,5,2023-11-18,1,1,"27","0-130"
48.1442581392,0.05,5,2023-11-18,1,1,"27","0-130"
70.6300415591,0.1,5,2023-11-18,1,1,"27","0-130"
103.7840541359,0.25,5,2023-11-18,1,1,"27","0-130"
167.6731105515,0.5,5,2023-11-18,1,1,"27","0-130"
234.9710921429,0.75,5,2023-11-18,1,1,"27","0-130"
314.8759084417,0.9,5,2023-11-18,1,1,"27","0-130"
376.4207367837,0.95,5,2023-11-18,1,1,"27","0-130"
404.2352511859,0.975,5,2023-11-18,1,1,"27","0-130"
425.4319845441,0.99,5,2023-11-18,1,1,"27","0-130"
18.7504804649,0.01,6,2023-11-18,1,1,"27","0-130"
20.2703574789,0.025,6,2023-11-18,1,1,"27","0-130"
25.2769870567,0.05,6,2023-11-18,1,1,"27","0-130"
35.0461576055,0.1,6,2023-11-18,1,1,"27","0-130"
54.8078756104,0.25,6,2023-11-18,1,1,"27","0-130"
84.7336987406,0.5,6,2023-11-18,1,1,"27","0-130"
125.677365649,0.75,6,2023-11-18,1,1,"27","0-130"
179.0586189018,0.9,6,2023-11-18,1,1,"27","0-130"
211.9470124036,0.95,6,2023-11-18,1,1,"27","0-130"
242.5571648223,0.975,6,2023-11-18,1,1,"27","0-130"
258.458176979,0.99,6,2023-11-18,1,1,"27","0-130"
22.0623852337,0.01,7,2023-11-18,1,1,"27","0-130"
24.610777139,0.025,7,2023-11-18,1,1,"27","0-130"
29.1554241248,0.05,7,2023-11-18,1,1,"27","0-130"
39.49950445,0.1,7,2023-11-18,1,1,"27","0-130"
62.9330368651,0.25,7,2023-11-18,1,1,"27","0-130"
98.2536745358,0.5,7,2023-11-18,1,1,"27","0-130"
146.3648277097,0.75,7,2023-11-18,1,1,"27","0-130"
202.7278597491,0.9,7,2023-11-18,1,1,"27","0-130"
252.9978844544,0.95,7,2023-11-18,1,1,"27","0-130"
278.838239556,0.975,7,2023-11-18,1,1,"27","0-130"
297.1573361592,0.99,7,2023-11-18,1,1,"27","0-130"
20.4726314999,0.01,1,2023-11-18,2,1,"27","0-130"
25.428291129,0.025,1,2023-11-18,2,1,"27","0-130"
34.7738407063,0.05,1,2023-11-18,2,1,"27","0-130"
44.5730641072,0.1,1,2023-11-18,2,1,"27","0-130"
69.7714887102,0.25,1,2023-11-18,2,1,"27","0-130"
129.8174029383,0.5,1,2023-11-18,2,1,"27","0-130"
207.5101563897,0.75,1,2023-11-18,2,1,"27","0-130"
300.3234715206,0.9,1,2023-11-18,2,1,"27","0-130"
339.5693612027,0.95,1,2023-11-18,2,1,"27","0-130"
368.6267411462,0.975,1,2023-11-18,2,1,"27","0-130"
411.6665532235,0.99,1,2023-11-18,2,1,"27","0-130"
19.5446491305,0.01,2,2023-11-18,2,1,"27","0-130"
23.8785606941,0.025,2,2023-11-18,2,1,"27","0-130"
32.2651598261,0.05,2,2023-11-18,2,1,"27","0-130"
44.8172406937,0.1,2,2023-11-18,2,1,"27","0-130"
73.6884718753,0.25,2,2023-11-18,2,1,"27","0-130"
130.9696102693,0.5,2,2023-11-18,2,1,"27","0-130"
219.5089927788,0.75,2,2023-11-18,2,1,"27","0-130"
329.0252901675,0.9,2,2023-11-18,2,1,"27","0-130"
392.7623220811,0.95,2,2023-11-18,2,1,"27","0-130"
420.3065229877,0.975,2,2023-11-18,2,1,"27","0-130"
446.4869847236,0.99,2,2023-11-18,2,1,"27","0-130"
29.9240293682,0.01,3,2023-11-18,2,1,"27","0-130"
31.9053009604,0.025,3,2023-11-18,2,1,"27","0-130"
36.9675849074,0.05,3,2023-11-18,2,1,"27","0-130"
48.096747176,0.1,3,2023-11-18,2,1,"27","0-130"
78.6011263269,0.25,3,2023-11-18,2,1,"27","0-130"
129.1668587524,0.5,3,2023-11-18,2,1,"27","0-130"
199.4608184261,0.75,3,2023-11-18,2,1,"27","0-130"
278.4244321019,0.9,3,2023-11-18,2,1,"27","0-130"
308.0484150922,0.95,3,2023-11-18,2,1,"27","0-130"
353.0871968783,0.975,3,2023-11-18,2,1,"27","0-130"
370.0888906946,0.99,3,2023-11-18,2,1,"27","0-130"
48.4995800211,0.01,4,2023-11-18,2,1,"27","0-130"
57.5812519306,0.025,4,2023-11-18,2,1,"27","0-130"
73.7731267605,0.05,4,2023-11-18,2,1,"27","0-130"
83.3340291421,0.1,4,2023-11-18,2,1,"27","0-130"
138.7788277282,0.25,4,2023-11-18,2,1,"27","0-130"
220.06655109,0.5,4,2023-11-18,2,1,"27","0-130"
346.0732151985,0.75,4,2023-11-18,2,1,"27","0-130"
420.3065229877,0.9,4,2023-11-18,2,1,"27","0-130"
439.8786384739,0.95,4,2023-11-18,2,1,"27","0-130"
456.3995040981,0.975,4,2023-11-18,2,1,"27","0-130"
468.5482243018,0.99,4,2023-11-18,2,1,"27","0-130"
40.1642492354,0.01,5,2023-11-18,2,1,"27","0-130"
42.9435594214,0.025,5,2023-11-18,2,1,"27","0-130"
48.5068786857,0.05,5,2023-11-18,2,1,"27","0-130"
61.4196536457,0.1,5,2023-11-18,2,1,"27","0-130"
104.8506863858,0.25,5,2023-11-18,2,1,"27","0-130"
162.4212216024,0.5,5,2023-11-18,2,1,"27","0-130"
253.1873850051,0.75,5,2023-11-18,2,1,"27","0-130"
339.5693612027,0.9,5,2023-11-18,2,1,"27","0-130"
368.6267411462,0.95,5,2023-11-18,2,1,"27","0-130"
407.9197509584,0.975,5,2023-11-18,2,1,"27","0-130"
419.1601577537,0.99,5,2023-11-18,2,1,"27","0-130"
17.3574863743,0.01,6,2023-11-18,2,1,"27","0-130"
18.5371367598,0.025,6,2023-11-18,2,1,"27","0-130"
22.5907937989,0.05,6,2023-11-18,2,1,"27","0-130"
30.1712411518,0.1,6,2023-11-18,2,1,"27","0-130"
48.4457249067,0.25,6,2023-11-18,2,1,"27","0-130"
85.1056506245,0.5,6,2023-11-18,2,1,"27","0-130"
127.2256118922,0.75,6,2023-11-18,2,1,"27","0-130"
191.2014866998,0.9,6,2023-11-18,2,1,"27","0-130"
225.2937025322,0.95,6,2023-11-18,2,1,"27","0-130"
257.0038123024,0.975,6,2023-11-18,2,1,"27","0-130"
270.0861652584,0.99,6,2023-11-18,2,1,"27","0-130"
19.683809501,0.01,7,2023-11-18,2,1,"27","0-130"
20.8670424993,0.025,7,2023-11-18,2,1,"27","0-130"
25.428291129,0.05,7,2023-11-18,2,1,"27","0-130"
34.7738407063,0.1,7,2023-11-18,2,1,"27","0-130"
52.351566268,0.25,7,2023-11-18,2,1,"27","0-130"
95.9124959025,0.5,7,2023-11-18,2,1,"27","0-130"
145.7342518471,0.75,7,2023-11-18,2,1,"27","0-130"
217.2795030011,0.9,7,2023-11-18,2,1,"27","0-130"
247.4700890382,0.95,7,2023-11-18,2,1,"27","0-130"
298.2546427982,0.975,7,2023-11-18,2,1,"27","0-130"
321.0176236356,0.99,7,2023-11-18,2,1,"27","0-130"
21.3376837736,0.01,1,2023-11-18,3,1,"27","0-130"
27.9475232463,0.025,1,2023-11-18,3,1,"27","0-130"
34.0738844587,0.05,1,2023-11-18,3,1,"27","0-130"
41.6151940745,0.1,1,2023-11-18,3,1,"27","0-130"
68.9625823269,0.25,1,2023-11-18,3,1,"27","0-130"
122.2735911386,0.5,1,2023-11-18,3,1,"27","0-130"
200.6029947952,0.75,1,2023-11-18,3,1,"27","0-130"
274.675655922,0.9,1,2023-11-18,3,1,"27","0-130"
306.4466540894,0.95,1,2023-11-18,3,1,"27","0-130"
339.9971350249,0.975,1,2023-11-18,3,1,"27","0-130"
378.2225330763,0.99,1,2023-11-18,3,1,"27","0-130"
20.1669676658,0.01,2,2023-11-18,3,1,"27","0-130"
24.9512935415,0.025,2,2023-11-18,3,1,"27","0-130"
31.0965791847,0.05,2,2023-11-18,3,1,"27","0-130"
41.0350181483,0.1,2,2023-11-18,3,1,"27","0-130"
69.027458594,0.25,2,2023-11-18,3,1,"27","0-130"
131.4555501405,0.5,2,2023-11-18,3,1,"27","0-130"
210.6939353683,0.75,2,2023-11-18,3,1,"27","0-130"
312.7161704123,0.9,2,2023-11-18,3,1,"27","0-130"
378.6239976886,0.95,2,2023-11-18,3,1,"27","0-130"
420.3506920944,0.975,2,2023-11-18,3,1,"27","0-130"
448.1333713251,0.99,2,2023-11-18,3,1,"27","0-130"
26.1291069339,0.01,3,2023-11-18,3,1,"27","0-130"
30.9918344296,0.025,3,2023-11-18,3,1,"27","0-130"
39.8190904529,0.05,3,2023-11-18,3,1,"27","0-130"
46.6181092458,0.1,3,2023-11-18,3,1,"27","0-130"
