"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0.3505196015,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
3.2811816643,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
10.0030192951,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
14.1660770662,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
19.0790955913,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
24.2295816216,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
29.9427600886,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
38.5077339258,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
48.1431939272,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","0-0.99"
0.3166666667,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
0.5945425092,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
1.7686473303,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
11.8519036585,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
25.4954806892,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
31.3461063965,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
56.0187219294,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
66.3201239161,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
79.3257508431,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
98.1523396628,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
116.7486480254,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","0-130"
0,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0.2280295405,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
1.9130343758,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
6.7432242701,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
8.2457286009,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
10.9280068497,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
14.5104523753,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
17.0717214944,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
19.6669188601,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
22.1527584156,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","1-4"
0.0687333333,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0.1010163157,0.025,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0.1873714687,0.05,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0.9498640681,0.1,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
2.7456082622,0.25,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
3.4123227665,0.5,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
6.8421502152,0.75,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
11.767743461,0.9,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
15.6018101176,0.95,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
20.1338880077,0.975,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
23.6158102879,0.99,1,2023-11-18,1,1,"35","Ensemble_LOP","5-64"
0.0393,0.01,1,2023-11-18,1,1,"35","Ensemble_LOP","65-130"
