"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
58.4231333333,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
58.9035,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
59.4795,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
60.4666,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
96.1497952702,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
131.1572490703,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
160.5384329535,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
246.6662522923,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
292.5431074646,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
304.0079097105,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
326.3703631122,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","0-0.99"
154.6691666667,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
157.7851,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
160.3436,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
164.8604,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
320.2995091703,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
440.1279325654,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
531.0930101555,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
595.2351870641,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
615.5063119116,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
624.8667403091,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
657.3479939705,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","0-130"
42.6469,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
43.6726,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
44.6607,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
52.3850530304,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
77.3108912738,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
104.876300937,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
114.7526286213,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
122.9296304383,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
130.750111013,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
140.5137,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
154.5737241667,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","1-4"
24.5862666667,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
25.2766,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
26.058,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
26.7107,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
57.3860538063,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
96.6665605119,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
108.663095882,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
122.3686668103,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
182.1448253279,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
214.2909524384,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
246.3608960431,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","5-64"
17.194444,0.01,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
19.038015,0.025,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
20.80086,0.05,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
24.83754,0.1,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
31.6275352497,0.25,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
44.6916377798,0.5,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
72,0.75,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
85.3532344887,0.9,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
87.6005284988,0.95,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
90.0447965727,0.975,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
94.2044329495,0.99,1,2023-11-18,1,1,"36","Ensemble_LOP","65-130"
23.6042050415,0.01,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
42.9587293318,0.025,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
56.6624100147,0.05,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
60.3242363557,0.1,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
72.8149439076,0.25,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
131.1572490703,0.5,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
242.5550936367,0.75,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
277.9103295896,0.9,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
301.0552401017,0.95,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
351.9844274284,0.975,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
411.7571110363,0.99,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-0.99"
59.5411915151,0.01,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
104.601648819,0.025,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
151.9700245958,0.05,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
164.4681632663,0.1,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
200.503360977,0.25,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
438.1413845254,0.5,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
544.7408579438,0.75,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
615.497152215,0.9,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
770.7399276601,0.95,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
1170.6685806307,0.975,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
1374.2504994489,0.99,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","0-130"
21.5650983932,0.01,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
37.1812041263,0.025,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
44.1384129856,0.05,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
46.9614791846,0.1,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
54.2979505944,0.25,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
99.3868436591,0.5,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
116.5456485923,0.75,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
156.7143712835,0.9,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
232.903062647,0.95,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
361.6987537405,0.975,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
403.59453455,0.99,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","1-4"
5.5547712688,0.01,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
15.0545232063,0.025,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
22.1594632014,0.05,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
26.4913711339,0.1,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
32.8676958771,0.25,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
95.5770292534,0.5,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
134.1368394164,0.75,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
194.6123509249,0.9,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
214.7579949367,0.95,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
234.6894357331,0.975,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
255.5670340035,0.99,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","5-64"
4.93,0.01,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
12,0.025,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
18.9233973614,0.05,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
24.0389299533,0.1,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
32.3265016751,0.25,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
44.9049469494,0.5,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
77.3971544482,0.75,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
96.5628688064,0.9,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
168.4,0.95,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
278,0.975,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
329.93,0.99,2,2023-11-18,1,1,"36","Ensemble_LOP_untrimmed","65-130"
64.5123496666,0.01,3,2023-11-18,1,1,"36","Ensemble","0-0.99"
66.6538504167,0.025,3,2023-11-18,1,1,"36","Ensemble","0-0.99"
69.2029025,0.05,3,2023-11-18,1,1,"36","Ensemble","0-0.99"
75.7832466667,0.1,3,2023-11-18,1,1,"36","Ensemble","0-0.99"
92.998427466,0.25,3,2023-11-18,1,1,"36","Ensemble","0-0.99"
