"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
20.1951485555,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
22.8,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
31.8,0.05,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
47,0.1,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
71.4699188185,0.25,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
94.7120044529,0.5,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
120.6262150852,0.75,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
131.6664057063,0.9,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
136.6099,0.95,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
139.5786,0.975,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
143.8103666667,0.99,1,2023-11-18,1,1,"47","Ensemble_LOP","0-0.99"
61.8396548889,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
70.7698525,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
77.0249816667,0.05,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
92.6036375727,0.1,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
151.8472404807,0.25,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
204.9686597064,0.5,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
235.0804626384,0.75,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
271.9055187079,0.9,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
304.931770395,0.95,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
314.5716514292,0.975,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
323.3815689944,0.99,1,2023-11-18,1,1,"47","Ensemble_LOP","0-130"
15.7119366667,0.01,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
17.8602625,0.025,1,2023-11-18,1,1,"47","Ensemble_LOP","1-4"
