"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
1438.9583508889,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1589.9203483333,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1621.0019826994,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1644.4365100581,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1664.2870483441,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
1808.3236772397,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
2322.6855109251,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
3193.2956621939,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
3918.1787490893,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
4001.2938183026,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
4242.4896312626,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","0-0.99"
4469.2076333333,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
4531.6728,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
4584.9862,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
4625.6111,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
5864.8495230375,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
6360.3032891873,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
8595.2399705099,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9255.5311711361,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9520.3208350939,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
9930.4791126539,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
10314.8832873643,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","0-130"
1238.5890281914,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1261.5160633642,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1281.7934024671,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1301.7945709022,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1450.8511276166,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1637.4764771056,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
1956.1376899908,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2102.5226606467,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2210.0236513667,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2281.4109,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
2548.7685658333,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","1-4"
825.1648666667,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
840.3357,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
851.9071,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
861.5263,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
1508.1863178873,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
1694.3133619946,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2064,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2546.1866,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
2781.4095,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
3172.2745,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
3789.9653533333,0.99,1,2023-11-18,1,1,"US","Ensemble_LOP","5-64"
397.59426,0.01,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
426.46068,0.025,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
447.43305,0.05,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
497.2,0.1,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
804.1685640565,0.25,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
826.63191104,0.5,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1479.5,0.75,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1640.4985134857,0.9,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1697.5658482315,0.95,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
1735.9124163796,0.975,1,2023-11-18,1,1,"US","Ensemble_LOP","65-130"
