"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
0.9966666667,0.01,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
1.95,0.025,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
3,0.05,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
4.2652063492,0.1,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
6.1947250501,0.25,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
7.8124188062,0.5,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
13.3453543906,0.75,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
19.8127585632,0.9,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
27.0685207769,0.95,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
36.5116516667,0.975,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
47.2058623333,0.99,1,2023-11-18,1,1,"49","Ensemble_LOP","0-0.99"
4.98,0.01,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
6.9597170913,0.025,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
10.3494584442,0.05,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
12.1178131262,0.1,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
14.1260347103,0.25,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
19.5731684739,0.5,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
37.3661940048,0.75,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
66.313016999,0.9,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
98.667203804,0.95,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
118.4852177674,0.975,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
146.4560634064,0.99,1,2023-11-18,1,1,"49","Ensemble_LOP","0-130"
0.2550106831,0.01,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
0.4989618913,0.025,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
1.9574536189,0.05,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
2.9023011656,0.1,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
4.6139008236,0.25,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
4.9156943286,0.5,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
8.6135442717,0.75,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
16.3390799307,0.9,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
28.0563374215,0.95,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
40.1343985232,0.975,1,2023-11-18,1,1,"49","Ensemble_LOP","1-4"
