"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
320.6326333333,0.01,1,,1,,"06","Ensemble_LOP","0-130"
480.7,0.025,1,,1,,"06","Ensemble_LOP","0-130"
700.1,0.05,1,,1,,"06","Ensemble_LOP","0-130"
814.9358279312,0.1,1,,1,,"06","Ensemble_LOP","0-130"
1041.0430407572,0.25,1,,1,,"06","Ensemble_LOP","0-130"
1151.916121705,0.5,1,,1,,"06","Ensemble_LOP","0-130"
1466.8228630689,0.75,1,,1,,"06","Ensemble_LOP","0-130"
2028,0.9,1,,1,,"06","Ensemble_LOP","0-130"
2478.8,0.95,1,,1,,"06","Ensemble_LOP","0-130"
2642.45,0.975,1,,1,,"06","Ensemble_LOP","0-130"
2837.94,0.99,1,,1,,"06","Ensemble_LOP","0-130"
320.2630267667,0.01,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
345.0787142377,0.025,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
450.494334342,0.05,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
557.1362892778,0.1,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
930.4355339733,0.25,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
1153.572485699,0.5,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
1602.2923509322,0.75,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
2340.5444385947,0.9,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
2704.3916225703,0.95,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
3107.1013266667,0.975,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
3832.6264301667,0.99,2,,1,,"06","Ensemble_LOP_untrimmed","0-130"
319.9663,0.01,4,,1,,"06","team2-modelb","0-130"
320.9658,0.025,4,,1,,"06","team2-modelb","0-130"
322.4158,0.05,4,,1,,"06","team2-modelb","0-130"
377.2344,0.1,4,,1,,"06","team2-modelb","0-130"
474.9328,0.25,4,,1,,"06","team2-modelb","0-130"
699.9599,0.5,4,,1,,"06","team2-modelb","0-130"
1069.1833,0.75,4,,1,,"06","team2-modelb","0-130"
1252.1016,0.9,4,,1,,"06","team2-modelb","0-130"
1352.4727,0.95,4,,1,,"06","team2-modelb","0-130"
1399.9468,0.975,4,,1,,"06","team2-modelb","0-130"
1492.6007,0.99,4,,1,,"06","team2-modelb","0-130"
83.31,0.01,5,,1,,"06","team3-modelc","0-130"
316.675,0.025,5,,1,,"06","team3-modelc","0-130"
480.7,0.05,5,,1,,"06","team3-modelc","0-130"
700.1,0.1,5,,1,,"06","team3-modelc","0-130"
997.25,0.25,5,,1,,"06","team3-modelc","0-130"
1444.5,0.5,5,,1,,"06","team3-modelc","0-130"
1942.5,0.75,5,,1,,"06","team3-modelc","0-130"
2478.8,0.9,5,,1,,"06","team3-modelc","0-130"
2642.45,0.95,5,,1,,"06","team3-modelc","0-130"
2738.15,0.975,5,,1,,"06","team3-modelc","0-130"
3037.52,0.99,5,,1,,"06","team3-modelc","0-130"
805.8940421667,0.01,6,,1,,"06","team4-modeld","0-130"
894.7113216667,0.025,6,,1,,"06","team4-modeld","0-130"
988.214275,0.05,6,,1,,"06","team4-modeld","0-130"
1065.0985666667,0.1,6,,1,,"06","team4-modeld","0-130"
1367.8224625,0.25,6,,1,,"06","team4-modeld","0-130"
1721.1380583333,0.5,6,,1,,"06","team4-modeld","0-130"
2395.944675,0.75,6,,1,,"06","team4-modeld","0-130"
