"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
126.5637198373,0.01,1,,1,,"08","Ensemble_LOP","0-130"
137.9723313912,0.025,1,,1,,"08","Ensemble_LOP","0-130"
152.9276208259,0.05,1,,1,,"08","Ensemble_LOP","0-130"
163.158237001,0.1,1,,1,,"08","Ensemble_LOP","0-130"
188.2773346045,0.25,1,,1,,"08","Ensemble_LOP","0-130"
239.3338390635,0.5,1,,1,,"08","Ensemble_LOP","0-130"
307.8586785416,0.75,1,,1,,"08","Ensemble_LOP","0-130"
373.5126584483,0.9,1,,1,,"08","Ensemble_LOP","0-130"
405.7389272853,0.95,1,,1,,"08","Ensemble_LOP","0-130"
429.1504,0.975,1,,1,,"08","Ensemble_LOP","0-130"
498.5297333333,0.99,1,,1,,"08","Ensemble_LOP","0-130"
94.5506045962,0.01,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
125.6581184212,0.025,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
142.0950686082,0.05,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
160.1447295308,0.1,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
200.8494361093,0.25,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
242.4813071146,0.5,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
372.0144063617,0.75,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
573.30597,0.9,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
657.4552233333,0.95,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
766.9121716667,0.975,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
870.9061018333,0.99,2,,1,,"08","Ensemble_LOP_untrimmed","0-130"
133.7359,0.01,4,,1,,"08","team2-modelb","0-130"
144.3448,0.025,4,,1,,"08","team2-modelb","0-130"
153.5322,0.05,4,,1,,"08","team2-modelb","0-130"
168.5421,0.1,4,,1,,"08","team2-modelb","0-130"
188.9642,0.25,4,,1,,"08","team2-modelb","0-130"
233.5298,0.5,4,,1,,"08","team2-modelb","0-130"
312.9991,0.75,4,,1,,"08","team2-modelb","0-130"
400.8537,0.9,4,,1,,"08","team2-modelb","0-130"
429.1504,0.95,4,,1,,"08","team2-modelb","0-130"
496.5715,0.975,4,,1,,"08","team2-modelb","0-130"
502.4462,0.99,4,,1,,"08","team2-modelb","0-130"
45.3057741549,0.01,5,,1,,"08","team3-modelc","0-130"
79.3158947134,0.025,5,,1,,"08","team3-modelc","0-130"
104.7070778514,0.05,5,,1,,"08","team3-modelc","0-130"
138.0145053082,0.1,5,,1,,"08","team3-modelc","0-130"
174.2368925605,0.25,5,,1,,"08","team3-modelc","0-130"
241.0742745686,0.5,5,,1,,"08","team3-modelc","0-130"
304.1364031128,0.75,5,,1,,"08","team3-modelc","0-130"
366.5988113413,0.9,5,,1,,"08","team3-modelc","0-130"
376.5963996167,0.95,5,,1,,"08","team3-modelc","0-130"
395.2261094442,0.975,5,,1,,"08","team3-modelc","0-130"
403.3403737459,0.99,5,,1,,"08","team3-modelc","0-130"
132.7452255,0.01,6,,1,,"08","team4-modeld","0-130"
150.6633579167,0.025,6,,1,,"08","team4-modeld","0-130"
190.3842316667,0.05,6,,1,,"08","team4-modeld","0-130"
286.6980266667,0.1,6,,1,,"08","team4-modeld","0-130"
395.0271625,0.25,6,,1,,"08","team4-modeld","0-130"
513.8990916667,0.5,6,,1,,"08","team4-modeld","0-130"
619.9221583333,0.75,6,,1,,"08","team4-modeld","0-130"
766.9121716667,0.9,6,,1,,"08","team4-modeld","0-130"
846.1412225,0.95,6,,1,,"08","team4-modeld","0-130"
