"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
128.6172201101,0.01,1,,1,,"09","Ensemble_LOP","0-130"
149.483218668,0.025,1,,1,,"09","Ensemble_LOP","0-130"
169.6176172602,0.05,1,,1,,"09","Ensemble_LOP","0-130"
192.0140807681,0.1,1,,1,,"09","Ensemble_LOP","0-130"
222.0293981497,0.25,1,,1,,"09","Ensemble_LOP","0-130"
266.1184388339,0.5,1,,1,,"09","Ensemble_LOP","0-130"
330.2113,0.75,1,,1,,"09","Ensemble_LOP","0-130"
408.1716,0.9,1,,1,,"09","Ensemble_LOP","0-130"
444.7919,0.95,1,,1,,"09","Ensemble_LOP","0-130"
467.4422,0.975,1,,1,,"09","Ensemble_LOP","0-130"
485.6325,0.99,1,,1,,"09","Ensemble_LOP","0-130"
42.3394419703,0.01,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
69.9676940523,0.025,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
81.3517598878,0.05,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
117.5185492325,0.1,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
184.1371790261,0.25,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
260.0252971577,0.5,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
362.7568265024,0.75,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
467.0782244419,0.9,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
570.3708533333,0.95,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
619.1828066667,0.975,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
684.3091933333,0.99,2,,1,,"09","Ensemble_LOP_untrimmed","0-130"
175.9935,0.01,4,,1,,"09","team2-modelb","0-130"
185.9379,0.025,4,,1,,"09","team2-modelb","0-130"
195.1801,0.05,4,,1,,"09","team2-modelb","0-130"
209.1117,0.1,4,,1,,"09","team2-modelb","0-130"
292.9993,0.25,4,,1,,"09","team2-modelb","0-130"
330.2113,0.5,4,,1,,"09","team2-modelb","0-130"
395.2965,0.75,4,,1,,"09","team2-modelb","0-130"
444.7919,0.9,4,,1,,"09","team2-modelb","0-130"
467.4422,0.95,4,,1,,"09","team2-modelb","0-130"
481.801,0.975,4,,1,,"09","team2-modelb","0-130"
493.2955,0.99,4,,1,,"09","team2-modelb","0-130"
21.1698949439,0.01,5,,1,,"09","team3-modelc","0-130"
35.6097599558,0.025,5,,1,,"09","team3-modelc","0-130"
46.8258966466,0.05,5,,1,,"09","team3-modelc","0-130"
69.9676940523,0.1,5,,1,,"09","team3-modelc","0-130"
91.4082007537,0.25,5,,1,,"09","team3-modelc","0-130"
131.0432387068,0.5,5,,1,,"09","team3-modelc","0-130"
164.6576183537,0.75,5,,1,,"09","team3-modelc","0-130"
206.9319642193,0.9,5,,1,,"09","team3-modelc","0-130"
224.5462949312,0.95,5,,1,,"09","team3-modelc","0-130"
233.8857865349,0.975,5,,1,,"09","team3-modelc","0-130"
248.1653003638,0.99,5,,1,,"09","team3-modelc","0-130"
145.9090461667,0.01,6,,1,,"09","team4-modeld","0-130"
220.5951570833,0.025,6,,1,,"09","team4-modeld","0-130"
245.7322808333,0.05,6,,1,,"09","team4-modeld","0-130"
266.4856433333,0.1,6,,1,,"09","team4-modeld","0-130"
329.3800625,0.25,6,,1,,"09","team4-modeld","0-130"
408.65645,0.5,6,,1,,"09","team4-modeld","0-130"
517.9849208333,0.75,6,,1,,"09","team4-modeld","0-130"
619.1828066667,0.9,6,,1,,"09","team4-modeld","0-130"
674.7861466667,0.95,6,,1,,"09","team4-modeld","0-130"
698.5937633333,0.975,6,,1,,"09","team4-modeld","0-130"
740.4623083333,0.99,6,,1,,"09","team4-modeld","0-130"
117.9995553579,0.01,7,,1,,"09","team5-modele","0-130"
133.9260524862,0.025,7,,1,,"09","team5-modele","0-130"
161.1578662739,0.05,7,,1,,"09","team5-modele","0-130"
173.1614776897,0.1,7,,1,,"09","team5-modele","0-130"
211.9402790721,0.25,7,,1,,"09","team5-modele","0-130"
233.0569628024,0.5,7,,1,,"09","team5-modele","0-130"
258.3467336006,0.75,7,,1,,"09","team5-modele","0-130"
274.7754586459,0.9,7,,1,,"09","team5-modele","0-130"
290.4599053095,0.95,7,,1,,"09","team5-modele","0-130"
294.5614109547,0.975,7,,1,,"09","team5-modele","0-130"
302.9709920164,0.99,7,,1,,"09","team5-modele","0-130"
131.5828280957,0.01,1,,2,,"09","Ensemble_LOP","0-130"
152.9770350114,0.025,1,,2,,"09","Ensemble_LOP","0-130"
174.0541649811,0.05,1,,2,,"09","Ensemble_LOP","0-130"
197.9223043689,0.1,1,,2,,"09","Ensemble_LOP","0-130"
228.2267392196,0.25,1,,2,,"09","Ensemble_LOP","0-130"
273.2468107993,0.5,1,,2,,"09","Ensemble_LOP","0-130"
342.1761,0.75,1,,2,,"09","Ensemble_LOP","0-130"
425.6914,0.9,1,,2,,"09","Ensemble_LOP","0-130"
463.7498,0.95,1,,2,,"09","Ensemble_LOP","0-130"
487.5219,0.975,1,,2,,"09","Ensemble_LOP","0-130"
506.5113,0.99,1,,2,,"09","Ensemble_LOP","0-130"
46.2802852966,0.01,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
71.0028781656,0.025,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
89.3910695017,0.05,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
119.85634091,0.1,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
186.5141993316,0.25,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
266.5970580529,0.5,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
373.8534331122,0.75,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
478.7903275324,0.9,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
578.4849633333,0.95,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
628.258585,0.975,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
691.8754141667,0.99,2,,2,,"09","Ensemble_LOP_untrimmed","0-130"
182.0693,0.01,4,,2,,"09","team2-modelb","0-130"
192.3308,0.025,4,,2,,"09","team2-modelb","0-130"
202.3164,0.05,4,,2,,"09","team2-modelb","0-130"
216.3948,0.1,4,,2,,"09","team2-modelb","0-130"
303.4326,0.25,4,,2,,"09","team2-modelb","0-130"
342.1761,0.5,4,,2,,"09","team2-modelb","0-130"
410.7079,0.75,4,,2,,"09","team2-modelb","0-130"
463.7498,0.9,4,,2,,"09","team2-modelb","0-130"
487.5219,0.95,4,,2,,"09","team2-modelb","0-130"
502.4835,0.975,4,,2,,"09","team2-modelb","0-130"
514.5669,0.99,4,,2,,"09","team2-modelb","0-130"
21.1838030552,0.01,5,,2,,"09","team3-modelc","0-130"
36.5795095914,0.025,5,,2,,"09","team3-modelc","0-130"
52.7474691001,0.05,5,,2,,"09","team3-modelc","0-130"
71.0028781656,0.1,5,,2,,"09","team3-modelc","0-130"
95.2700759062,0.25,5,,2,,"09","team3-modelc","0-130"
130.3792103958,0.5,5,,2,,"09","team3-modelc","0-130"
169.7425624957,0.75,5,,2,,"09","team3-modelc","0-130"
209.0199536545,0.9,5,,2,,"09","team3-modelc","0-130"
223.8791415384,0.95,5,,2,,"09","team3-modelc","0-130"
241.5948661597,0.975,5,,2,,"09","team3-modelc","0-130"
254.9697114935,0.99,5,,2,,"09","team3-modelc","0-130"
148.3474976667,0.01,6,,2,,"09","team4-modeld","0-130"
223.9074116667,0.025,6,,2,,"09","team4-modeld","0-130"
249.6943425,0.05,6,,2,,"09","team4-modeld","0-130"
270.1496383333,0.1,6,,2,,"09","team4-modeld","0-130"
334.3804,0.25,6,,2,,"09","team4-modeld","0-130"
414.127975,0.5,6,,2,,"09","team4-modeld","0-130"
525.021175,0.75,6,,2,,"09","team4-modeld","0-130"
628.258585,0.9,6,,2,,"09","team4-modeld","0-130"
682.1020525,0.95,6,,2,,"09","team4-modeld","0-130"
706.5354566667,0.975,6,,2,,"09","team4-modeld","0-130"
750.5182158333,0.99,6,,2,,"09","team4-modeld","0-130"
120.5069901701,0.01,7,,2,,"09","team5-modele","0-130"
