"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
218.2395066667,0.01,1,,1,,"13","Ensemble_LOP","0-130"
235.6976657144,0.025,1,,1,,"13","Ensemble_LOP","0-130"
256.1219339655,0.05,1,,1,,"13","Ensemble_LOP","0-130"
272.7496699099,0.1,1,,1,,"13","Ensemble_LOP","0-130"
303.6188262803,0.25,1,,1,,"13","Ensemble_LOP","0-130"
344.3740811827,0.5,1,,1,,"13","Ensemble_LOP","0-130"
400.1623776753,0.75,1,,1,,"13","Ensemble_LOP","0-130"
433.9125904809,0.9,1,,1,,"13","Ensemble_LOP","0-130"
451.2619436518,0.95,1,,1,,"13","Ensemble_LOP","0-130"
470.6806137918,0.975,1,,1,,"13","Ensemble_LOP","0-130"
480.7705724992,0.99,1,,1,,"13","Ensemble_LOP","0-130"
109.6644786366,0.01,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
178.3981555723,0.025,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
207.9679290271,0.05,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
262.0008128023,0.1,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
308.3345706041,0.25,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
326.4206678273,0.5,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
397.2845281573,0.75,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
461.7667009836,0.9,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
569.04678,0.95,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
660.0943166667,0.975,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
760.642298,0.99,2,,1,,"13","Ensemble_LOP_untrimmed","0-130"
287,0.01,4,,1,,"13","team2-modelb","0-130"
288.1949,0.025,4,,1,,"13","team2-modelb","0-130"
306.3281,0.05,4,,1,,"13","team2-modelb","0-130"
310.5214,0.1,4,,1,,"13","team2-modelb","0-130"
