"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
121.5344959163,0.01,1,,1,,"24","Ensemble_LOP","0-130"
125.1289563691,0.025,1,,1,,"24","Ensemble_LOP","0-130"
129.8506396153,0.05,1,,1,,"24","Ensemble_LOP","0-130"
140.3734692972,0.1,1,,1,,"24","Ensemble_LOP","0-130"
155.3669893951,0.25,1,,1,,"24","Ensemble_LOP","0-130"
189.1943306395,0.5,1,,1,,"24","Ensemble_LOP","0-130"
262.0071627008,0.75,1,,1,,"24","Ensemble_LOP","0-130"
356.673764028,0.9,1,,1,,"24","Ensemble_LOP","0-130"
429.4920706924,0.95,1,,1,,"24","Ensemble_LOP","0-130"
491.7333666777,0.975,1,,1,,"24","Ensemble_LOP","0-130"
515.093493867,0.99,1,,1,,"24","Ensemble_LOP","0-130"
53.2264555492,0.01,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
98.9742583101,0.025,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
122.4506191784,0.05,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
138.224371567,0.1,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
161.6889126234,0.25,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
210.241764998,0.5,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
403.0752369033,0.75,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
625.60168,0.9,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
733.85085,0.95,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
826.027985,0.975,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
965.2248975,0.99,2,,1,,"24","Ensemble_LOP_untrimmed","0-130"
121.5518,0.01,4,,1,,"24","team2-modelb","0-130"
124.7175,0.025,4,,1,,"24","team2-modelb","0-130"
128.5295,0.05,4,,1,,"24","team2-modelb","0-130"
137.7355,0.1,4,,1,,"24","team2-modelb","0-130"
155.6757,0.25,4,,1,,"24","team2-modelb","0-130"
171.7666,0.5,4,,1,,"24","team2-modelb","0-130"
