"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
266.5570666667,0.01,1,,1,,"26","Ensemble_LOP","0-130"
310.7336096418,0.025,1,,1,,"26","Ensemble_LOP","0-130"
347.9816061583,0.05,1,,1,,"26","Ensemble_LOP","0-130"
439.3737072211,0.1,1,,1,,"26","Ensemble_LOP","0-130"
600.0211804778,0.25,1,,1,,"26","Ensemble_LOP","0-130"
636.7052248025,0.5,1,,1,,"26","Ensemble_LOP","0-130"
759.0317583667,0.75,1,,1,,"26","Ensemble_LOP","0-130"
827.0698,0.9,1,,1,,"26","Ensemble_LOP","0-130"
866.2034,0.95,1,,1,,"26","Ensemble_LOP","0-130"
888.5276,0.975,1,,1,,"26","Ensemble_LOP","0-130"
960.6004333333,0.99,1,,1,,"26","Ensemble_LOP","0-130"
117.7877716668,0.01,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
197.7104120006,0.025,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
246.7653943694,0.05,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
341.638550208,0.1,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
522.6081599103,0.25,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
639.6577833082,0.5,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
832.3938071819,0.75,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
1469.9968566667,0.9,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
1772.9168166667,0.95,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
2030.7228433333,0.975,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
2407.7840525,0.99,2,,1,,"26","Ensemble_LOP_untrimmed","0-130"
248.6354,0.01,4,,1,,"26","team2-modelb","0-130"
275.5179,0.025,4,,1,,"26","team2-modelb","0-130"
323.8701,0.05,4,,1,,"26","team2-modelb","0-130"
373.9933,0.1,4,,1,,"26","team2-modelb","0-130"
596.6299,0.25,4,,1,,"26","team2-modelb","0-130"
750.85,0.5,4,,1,,"26","team2-modelb","0-130"
808.7532,0.75,4,,1,,"26","team2-modelb","0-130"
866.2034,0.9,4,,1,,"26","team2-modelb","0-130"
888.5276,0.95,4,,1,,"26","team2-modelb","0-130"
950.0174,0.975,4,,1,,"26","team2-modelb","0-130"
981.7665,0.99,4,,1,,"26","team2-modelb","0-130"
39.2204415712,0.01,5,,1,,"26","team3-modelc","0-130"
87.9850538197,0.025,5,,1,,"26","team3-modelc","0-130"
137.6562502315,0.05,5,,1,,"26","team3-modelc","0-130"
197.7104120006,0.1,5,,1,,"26","team3-modelc","0-130"
293.3406928535,0.25,5,,1,,"26","team3-modelc","0-130"
415.8545654172,0.5,5,,1,,"26","team3-modelc","0-130"
535.3597865732,0.75,5,,1,,"26","team3-modelc","0-130"
