"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
99.6017834109,0.01,1,,1,,"27","Ensemble_LOP","0-130"
160.287947141,0.025,1,,1,,"27","Ensemble_LOP","0-130"
183.3391965041,0.05,1,,1,,"27","Ensemble_LOP","0-130"
218.713685813,0.1,1,,1,,"27","Ensemble_LOP","0-130"
336.5389808216,0.25,1,,1,,"27","Ensemble_LOP","0-130"
408.5256078778,0.5,1,,1,,"27","Ensemble_LOP","0-130"
452.2552179309,0.75,1,,1,,"27","Ensemble_LOP","0-130"
498.8501864989,0.9,1,,1,,"27","Ensemble_LOP","0-130"
574.5770793647,0.95,1,,1,,"27","Ensemble_LOP","0-130"
648.3442928148,0.975,1,,1,,"27","Ensemble_LOP","0-130"
737.7590587941,0.99,1,,1,,"27","Ensemble_LOP","0-130"
89.6097724954,0.01,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
119.4158242467,0.025,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
148.6557512681,0.05,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
189.4553389485,0.1,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
261.434527732,0.25,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
404.8961688015,0.5,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
517.6943538282,0.75,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
858.2741264644,0.9,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
1019.0584066667,0.95,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
1137.0744883333,0.975,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
1218.2651623333,0.99,2,,1,,"27","Ensemble_LOP_untrimmed","0-130"
80.3782,0.01,4,,1,,"27","team2-modelb","0-130"
91.1668,0.025,4,,1,,"27","team2-modelb","0-130"
108.5996,0.05,4,,1,,"27","team2-modelb","0-130"
131.3925,0.1,4,,1,,"27","team2-modelb","0-130"
176.904,0.25,4,,1,,"27","team2-modelb","0-130"
221.3211,0.5,4,,1,,"27","team2-modelb","0-130"
