"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
25.066120195,0.01,1,,1,,"35","Ensemble_LOP","0-130"
37.1934084025,0.025,1,,1,,"35","Ensemble_LOP","0-130"
63.4707368213,0.05,1,,1,,"35","Ensemble_LOP","0-130"
98.3155474137,0.1,1,,1,,"35","Ensemble_LOP","0-130"
131.0393321766,0.25,1,,1,,"35","Ensemble_LOP","0-130"
163.394904299,0.5,1,,1,,"35","Ensemble_LOP","0-130"
205.7295557315,0.75,1,,1,,"35","Ensemble_LOP","0-130"
262.5115328562,0.9,1,,1,,"35","Ensemble_LOP","0-130"
285.333609374,0.95,1,,1,,"35","Ensemble_LOP","0-130"
297.9467295527,0.975,1,,1,,"35","Ensemble_LOP","0-130"
338.3469752323,0.99,1,,1,,"35","Ensemble_LOP","0-130"
10.67006,0.01,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
32.0113349993,0.025,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
69.650540632,0.05,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
97.6414287622,0.1,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
131.7086605502,0.25,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
151.3121551046,0.5,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
215.6909841598,0.75,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
285.8253615097,0.9,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
322.563636198,0.95,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
352.4353283333,0.975,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
400.9680545,0.99,2,,1,,"35","Ensemble_LOP_untrimmed","0-130"
0.6928,0.01,4,,1,,"35","team2-modelb","0-130"
2.5553,0.025,4,,1,,"35","team2-modelb","0-130"
16.0799,0.05,4,,1,,"35","team2-modelb","0-130"
91.5963,0.1,4,,1,,"35","team2-modelb","0-130"
123.469,0.25,4,,1,,"35","team2-modelb","0-130"
153.9194,0.5,4,,1,,"35","team2-modelb","0-130"
191.701,0.75,4,,1,,"35","team2-modelb","0-130"
231.3988,0.9,4,,1,,"35","team2-modelb","0-130"
266.3288,0.95,4,,1,,"35","team2-modelb","0-130"
279.36,0.975,4,,1,,"35","team2-modelb","0-130"
296.7785,0.99,4,,1,,"35","team2-modelb","0-130"
20.2121308163,0.01,5,,1,,"35","team3-modelc","0-130"
27.4931148843,0.025,5,,1,,"35","team3-modelc","0-130"
45.8921909995,0.05,5,,1,,"35","team3-modelc","0-130"
78.4822727465,0.1,5,,1,,"35","team3-modelc","0-130"
117.3234446929,0.25,5,,1,,"35","team3-modelc","0-130"
175.1970669903,0.5,5,,1,,"35","team3-modelc","0-130"
225.7464205759,0.75,5,,1,,"35","team3-modelc","0-130"
278.8941006597,0.9,5,,1,,"35","team3-modelc","0-130"
295.1097825269,0.95,5,,1,,"35","team3-modelc","0-130"
332.3811731605,0.975,5,,1,,"35","team3-modelc","0-130"
350.2785793759,0.99,5,,1,,"35","team3-modelc","0-130"
32.9285821667,0.01,6,,1,,"35","team4-modeld","0-130"
68.08613875,0.025,6,,1,,"35","team4-modeld","0-130"
80.7834516667,0.05,6,,1,,"35","team4-modeld","0-130"
112.8370983333,0.1,6,,1,,"35","team4-modeld","0-130"
169.4268,0.25,6,,1,,"35","team4-modeld","0-130"
233.8777083333,0.5,6,,1,,"35","team4-modeld","0-130"
298.221275,0.75,6,,1,,"35","team4-modeld","0-130"
352.4353283333,0.9,6,,1,,"35","team4-modeld","0-130"
392.2230541667,0.95,6,,1,,"35","team4-modeld","0-130"
414.085555,0.975,6,,1,,"35","team4-modeld","0-130"
445.4135946667,0.99,6,,1,,"35","team4-modeld","0-130"
89.9295210738,0.01,7,,1,,"35","team5-modele","0-130"
107.9479494377,0.025,7,,1,,"35","team5-modele","0-130"
117.5731687262,0.05,7,,1,,"35","team5-modele","0-130"
124.1146097726,0.1,7,,1,,"35","team5-modele","0-130"
132.4730614321,0.25,7,,1,,"35","team5-modele","0-130"
138.6598375575,0.5,7,,1,,"35","team5-modele","0-130"
144.6073053749,0.75,7,,1,,"35","team5-modele","0-130"
149.3988846746,0.9,7,,1,,"35","team5-modele","0-130"
154.2506468273,0.95,7,,1,,"35","team5-modele","0-130"
159.1406466938,0.975,7,,1,,"35","team5-modele","0-130"
163.298614587,0.99,7,,1,,"35","team5-modele","0-130"
22.8973485286,0.01,1,,2,,"35","Ensemble_LOP","0-130"
42.2119447043,0.025,1,,2,,"35","Ensemble_LOP","0-130"
68.1287688716,0.05,1,,2,,"35","Ensemble_LOP","0-130"
99.1427323981,0.1,1,,2,,"35","Ensemble_LOP","0-130"
134.3488704168,0.25,1,,2,,"35","Ensemble_LOP","0-130"
167.4340822507,0.5,1,,2,,"35","Ensemble_LOP","0-130"
211.5861389814,0.75,1,,2,,"35","Ensemble_LOP","0-130"
267.812520634,0.9,1,,2,,"35","Ensemble_LOP","0-130"
298.5236628786,0.95,1,,2,,"35","Ensemble_LOP","0-130"
308.4583521716,0.975,1,,2,,"35","Ensemble_LOP","0-130"
330.9544465896,0.99,1,,2,,"35","Ensemble_LOP","0-130"
8.3879901969,0.01,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
36.0125729618,0.025,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
72.2459324547,0.05,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
99.9922402539,0.1,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
134.5429082922,0.25,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
155.1049393426,0.5,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
220.6779561634,0.75,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
294.1876030509,0.9,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
323.0135649879,0.95,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
356.6091633333,0.975,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
404.351391,0.99,2,,2,,"35","Ensemble_LOP_untrimmed","0-130"
0.7363,0.01,4,,2,,"35","team2-modelb","0-130"
2.6892,0.025,4,,2,,"35","team2-modelb","0-130"
17.5205,0.05,4,,2,,"35","team2-modelb","0-130"
92.1209,0.1,4,,2,,"35","team2-modelb","0-130"
