"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
42.0166790919,0.01,1,,1,,"41","Ensemble_LOP","0-130"
52.0663460085,0.025,1,,1,,"41","Ensemble_LOP","0-130"
74.102722656,0.05,1,,1,,"41","Ensemble_LOP","0-130"
104.7448569929,0.1,1,,1,,"41","Ensemble_LOP","0-130"
152.5567076049,0.25,1,,1,,"41","Ensemble_LOP","0-130"
187.9896383573,0.5,1,,1,,"41","Ensemble_LOP","0-130"
244.4214917712,0.75,1,,1,,"41","Ensemble_LOP","0-130"
294.8579415965,0.9,1,,1,,"41","Ensemble_LOP","0-130"
310.2767403117,0.95,1,,1,,"41","Ensemble_LOP","0-130"
314.4283593045,0.975,1,,1,,"41","Ensemble_LOP","0-130"
332.9677594722,0.99,1,,1,,"41","Ensemble_LOP","0-130"
39.581227304,0.01,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
53.6422089163,0.025,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
75.0279473273,0.05,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
94.8866115125,0.1,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
139.7074255711,0.25,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
190.5029126625,0.5,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
271.7058410707,0.75,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
417.27169,0.9,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
553.6678766667,0.95,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
695.9612283333,0.975,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
823.620138,0.99,2,,1,,"41","Ensemble_LOP_untrimmed","0-130"
82.4464,0.01,4,,1,,"41","team2-modelb","0-130"
91.8303,0.025,4,,1,,"41","team2-modelb","0-130"
98.1835,0.05,4,,1,,"41","team2-modelb","0-130"
119.4049,0.1,4,,1,,"41","team2-modelb","0-130"
146.0749,0.25,4,,1,,"41","team2-modelb","0-130"
168.8385,0.5,4,,1,,"41","team2-modelb","0-130"
197.3932,0.75,4,,1,,"41","team2-modelb","0-130"
226.256,0.9,4,,1,,"41","team2-modelb","0-130"
245.621,0.95,4,,1,,"41","team2-modelb","0-130"
284.6931,0.975,4,,1,,"41","team2-modelb","0-130"
299.7268,0.99,4,,1,,"41","team2-modelb","0-130"
21.86,0.01,5,,1,,"41","team3-modelc","0-130"
40.5,0.025,5,,1,,"41","team3-modelc","0-130"
55.8,0.05,5,,1,,"41","team3-modelc","0-130"
75.9,0.1,5,,1,,"41","team3-modelc","0-130"
100,0.25,5,,1,,"41","team3-modelc","0-130"
140.5,0.5,5,,1,,"41","team3-modelc","0-130"
186.25,0.75,5,,1,,"41","team3-modelc","0-130"
226.2,0.9,5,,1,,"41","team3-modelc","0-130"
236.2,0.95,5,,1,,"41","team3-modelc","0-130"
255.175,0.975,5,,1,,"41","team3-modelc","0-130"
271.15,0.99,5,,1,,"41","team3-modelc","0-130"
24.1684336667,0.01,6,,1,,"41","team4-modeld","0-130"
64.4502904167,0.025,6,,1,,"41","team4-modeld","0-130"
99.5181241667,0.05,6,,1,,"41","team4-modeld","0-130"
137.4558316667,0.1,6,,1,,"41","team4-modeld","0-130"
218.9213,0.25,6,,1,,"41","team4-modeld","0-130"
363.9205,0.5,6,,1,,"41","team4-modeld","0-130"
505.4241416667,0.75,6,,1,,"41","team4-modeld","0-130"
695.9612283333,0.9,6,,1,,"41","team4-modeld","0-130"
783.5510275,0.95,6,,1,,"41","team4-modeld","0-130"
883.72380375,0.975,6,,1,,"41","team4-modeld","0-130"
972.6985166667,0.99,6,,1,,"41","team4-modeld","0-130"
45.0223510431,0.01,7,,1,,"41","team5-modele","0-130"
49.5937037967,0.025,7,,1,,"41","team5-modele","0-130"
62.9985092565,0.05,7,,1,,"41","team5-modele","0-130"
93.641401855,0.1,7,,1,,"41","team5-modele","0-130"
174.3945223891,0.25,7,,1,,"41","team5-modele","0-130"
234.11621904,0.5,7,,1,,"41","team5-modele","0-130"
281.9386706323,0.75,7,,1,,"41","team5-modele","0-130"
310.2767403117,0.9,7,,1,,"41","team5-modele","0-130"
314.4283593045,0.95,7,,1,,"41","team5-modele","0-130"
330.9441545681,0.975,7,,1,,"41","team5-modele","0-130"
337.0149692805,0.99,7,,1,,"41","team5-modele","0-130"
43.7816889127,0.01,1,,2,,"41","Ensemble_LOP","0-130"
52.9969853126,0.025,1,,2,,"41","Ensemble_LOP","0-130"
75.5504612048,0.05,1,,2,,"41","Ensemble_LOP","0-130"
107.8853836352,0.1,1,,2,,"41","Ensemble_LOP","0-130"
159.0633537468,0.25,1,,2,,"41","Ensemble_LOP","0-130"
195.5190660752,0.5,1,,2,,"41","Ensemble_LOP","0-130"
251.5282765044,0.75,1,,2,,"41","Ensemble_LOP","0-130"
300.7870493631,0.9,1,,2,,"41","Ensemble_LOP","0-130"
316.2070330938,0.95,1,,2,,"41","Ensemble_LOP","0-130"
321.2802623519,0.975,1,,2,,"41","Ensemble_LOP","0-130"
339.0775964095,0.99,1,,2,,"41","Ensemble_LOP","0-130"
41.3764014303,0.01,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
53.9687225891,0.025,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
75.627321042,0.05,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
97.817332371,0.1,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
144.0959153958,0.25,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
195.9362878798,0.5,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
275.8628743247,0.75,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
424.9519933333,0.9,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
559.9319533333,0.95,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
700.9155183333,0.975,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
835.979956,0.99,2,,2,,"41","Ensemble_LOP_untrimmed","0-130"
86.3402,0.01,4,,2,,"41","team2-modelb","0-130"
96.4609,0.025,4,,2,,"41","team2-modelb","0-130"
102.7056,0.05,4,,2,,"41","team2-modelb","0-130"
125.0214,0.1,4,,2,,"41","team2-modelb","0-130"
153.5842,0.25,4,,2,,"41","team2-modelb","0-130"
177.7469,0.5,4,,2,,"41","team2-modelb","0-130"
207.5439,0.75,4,,2,,"41","team2-modelb","0-130"
237.2664,0.9,4,,2,,"41","team2-modelb","0-130"
258.481,0.95,4,,2,,"41","team2-modelb","0-130"
297.4144,0.975,4,,2,,"41","team2-modelb","0-130"
312.9984,0.99,4,,2,,"41","team2-modelb","0-130"
20.88,0.01,5,,2,,"41","team3-modelc","0-130"
42.85,0.025,5,,2,,"41","team3-modelc","0-130"
55,0.05,5,,2,,"41","team3-modelc","0-130"
75.7,0.1,5,,2,,"41","team3-modelc","0-130"
109.25,0.25,5,,2,,"41","team3-modelc","0-130"
144,0.5,5,,2,,"41","team3-modelc","0-130"
181.25,0.75,5,,2,,"41","team3-modelc","0-130"
224.8,0.9,5,,2,,"41","team3-modelc","0-130"
242.2,0.95,5,,2,,"41","team3-modelc","0-130"
248.05,0.975,5,,2,,"41","team3-modelc","0-130"
252.38,0.99,5,,2,,"41","team3-modelc","0-130"
25.2832216667,0.01,6,,2,,"41","team4-modeld","0-130"
65.4753208333,0.025,6,,2,,"41","team4-modeld","0-130"
102.0368258333,0.05,6,,2,,"41","team4-modeld","0-130"
139.2014266667,0.1,6,,2,,"41","team4-modeld","0-130"
223.8814875,0.25,6,,2,,"41","team4-modeld","0-130"
370.09345,0.5,6,,2,,"41","team4-modeld","0-130"
514.2836541667,0.75,6,,2,,"41","team4-modeld","0-130"
700.9155183333,0.9,6,,2,,"41","team4-modeld","0-130"
794.7600925,0.95,6,,2,,"41","team4-modeld","0-130"
897.80975125,0.975,6,,2,,"41","team4-modeld","0-130"
978.9402455,0.99,6,,2,,"41","team4-modeld","0-130"
45.859107574,0.01,7,,2,,"41","team5-modele","0-130"
50.4247323351,0.025,7,,2,,"41","team5-modele","0-130"
64.2332308834,0.05,7,,2,,"41","team5-modele","0-130"
95.4776072849,0.1,7,,2,,"41","team5-modele","0-130"
177.5632701473,0.25,7,,2,,"41","team5-modele","0-130"
238.2978683773,0.5,7,,2,,"41","team5-modele","0-130"
287.2279550052,0.75,7,,2,,"41","team5-modele","0-130"
316.2070330938,0.9,7,,2,,"41","team5-modele","0-130"
321.2802623519,0.95,7,,2,,"41","team5-modele","0-130"
337.6636888998,0.975,7,,2,,"41","team5-modele","0-130"
341.905411429,0.99,7,,2,,"41","team5-modele","0-130"
42.4325319228,0.01,1,,3,,"41","Ensemble_LOP","0-130"
52.9473247589,0.025,1,,3,,"41","Ensemble_LOP","0-130"
75.2190489405,0.05,1,,3,,"41","Ensemble_LOP","0-130"
105.9992983325,0.1,1,,3,,"41","Ensemble_LOP","0-130"
155.1104324841,0.25,1,,3,,"41","Ensemble_LOP","0-130"
191.3410345936,0.5,1,,3,,"41","Ensemble_LOP","0-130"
248.2427949396,0.75,1,,3,,"41","Ensemble_LOP","0-130"
298.6452473579,0.9,1,,3,,"41","Ensemble_LOP","0-130"
315.7599857624,0.95,1,,3,,"41","Ensemble_LOP","0-130"
321.1155765382,0.975,1,,3,,"41","Ensemble_LOP","0-130"
338.5655371086,0.99,1,,3,,"41","Ensemble_LOP","0-130"
40.0030297738,0.01,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
56.6493808141,0.025,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
77.3950820672,0.05,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
95.2243250231,0.1,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
142.0479428404,0.25,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
191.7366883145,0.5,2,,3,,"41","Ensemble_LOP_untrimmed","0-130"
