"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
133.6579333333,0.01,1,,1,,"47","Ensemble_LOP","0-130"
143.4944,0.025,1,,1,,"47","Ensemble_LOP","0-130"
152.9015,0.05,1,,1,,"47","Ensemble_LOP","0-130"
163.1629864855,0.1,1,,1,,"47","Ensemble_LOP","0-130"
216.1455224641,0.25,1,,1,,"47","Ensemble_LOP","0-130"
269.7671761596,0.5,1,,1,,"47","Ensemble_LOP","0-130"
378.2821916667,0.75,1,,1,,"47","Ensemble_LOP","0-130"
416.7624746737,0.9,1,,1,,"47","Ensemble_LOP","0-130"
431.0337852203,0.95,1,,1,,"47","Ensemble_LOP","0-130"
449.9093651196,0.975,1,,1,,"47","Ensemble_LOP","0-130"
461.2010081226,0.99,1,,1,,"47","Ensemble_LOP","0-130"
63.6342690596,0.01,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
90.4697005075,0.025,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
113.6884608729,0.05,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
151.7627820247,0.1,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
210.3994774327,0.25,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
268.5583653479,0.5,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
386.8566808352,0.75,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
456.0925584812,0.9,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
639.01704,0.95,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
751.112945,0.975,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
944.7139516667,0.99,2,,1,,"47","Ensemble_LOP_untrimmed","0-130"
127.8722,0.01,4,,1,,"47","team2-modelb","0-130"
136.5508,0.025,4,,1,,"47","team2-modelb","0-130"
143.4944,0.05,4,,1,,"47","team2-modelb","0-130"
152.9015,0.1,4,,1,,"47","team2-modelb","0-130"
189.1277,0.25,4,,1,,"47","team2-modelb","0-130"
218.2505,0.5,4,,1,,"47","team2-modelb","0-130"
233.9699,0.75,4,,1,,"47","team2-modelb","0-130"
245.6328,0.9,4,,1,,"47","team2-modelb","0-130"
252.1998,0.95,4,,1,,"47","team2-modelb","0-130"
257.7732,0.975,4,,1,,"47","team2-modelb","0-130"
260.4623,0.99,4,,1,,"47","team2-modelb","0-130"
16.549042626,0.01,5,,1,,"47","team3-modelc","0-130"
46.9159430545,0.025,5,,1,,"47","team3-modelc","0-130"
74.7798197297,0.05,5,,1,,"47","team3-modelc","0-130"
90.4697005075,0.1,5,,1,,"47","team3-modelc","0-130"
135.0810889668,0.25,5,,1,,"47","team3-modelc","0-130"
187.9811162323,0.5,5,,1,,"47","team3-modelc","0-130"
258.5109513008,0.75,5,,1,,"47","team3-modelc","0-130"
304.931770395,0.9,5,,1,,"47","team3-modelc","0-130"
314.5716514292,0.95,5,,1,,"47","team3-modelc","0-130"
319.6604795134,0.975,5,,1,,"47","team3-modelc","0-130"
330.8237479564,0.99,5,,1,,"47","team3-modelc","0-130"
155.6450066667,0.01,6,,1,,"47","team4-modeld","0-130"
185.9748691667,0.025,6,,1,,"47","team4-modeld","0-130"
225.4234116667,0.05,6,,1,,"47","team4-modeld","0-130"
241.5143116667,0.1,6,,1,,"47","team4-modeld","0-130"
286.0525708333,0.25,6,,1,,"47","team4-modeld","0-130"
378.2821916667,0.5,6,,1,,"47","team4-modeld","0-130"
576.5448416667,0.75,6,,1,,"47","team4-modeld","0-130"
751.112945,0.9,6,,1,,"47","team4-modeld","0-130"
911.7865458333,0.95,6,,1,,"47","team4-modeld","0-130"
994.1050604167,0.975,6,,1,,"47","team4-modeld","0-130"
1014.242748,0.99,6,,1,,"47","team4-modeld","0-130"
269.1434751777,0.01,7,,1,,"47","team5-modele","0-130"
284.6706812669,0.025,7,,1,,"47","team5-modele","0-130"
304.8527493561,0.05,7,,1,,"47","team5-modele","0-130"
323.5679900442,0.1,7,,1,,"47","team5-modele","0-130"
354.4981308478,0.25,7,,1,,"47","team5-modele","0-130"
389.434287339,0.5,7,,1,,"47","team5-modele","0-130"
411.3681635195,0.75,7,,1,,"47","team5-modele","0-130"
431.0337852203,0.9,7,,1,,"47","team5-modele","0-130"
449.9093651196,0.95,7,,1,,"47","team5-modele","0-130"
457.0732657601,0.975,7,,1,,"47","team5-modele","0-130"
469.4564928476,0.99,7,,1,,"47","team5-modele","0-130"
132.7179333333,0.01,1,,2,,"47","Ensemble_LOP","0-130"
141.9267,0.025,1,,2,,"47","Ensemble_LOP","0-130"
151.4253,0.05,1,,2,,"47","Ensemble_LOP","0-130"
161.5077385735,0.1,1,,2,,"47","Ensemble_LOP","0-130"
216.540670757,0.25,1,,2,,"47","Ensemble_LOP","0-130"
