"value","type_id","model_name","target_end_date","scenario_id","horizon","location","model_id","age_group"
5751.5293333333,0.01,1,,1,,"US","Ensemble_LOP","0-130"
6253.9172,0.025,1,,1,,"US","Ensemble_LOP","0-130"
6608.9729,0.05,1,,1,,"US","Ensemble_LOP","0-130"
6988.8793,0.1,1,,1,,"US","Ensemble_LOP","0-130"
10757.8955374402,0.25,1,,1,,"US","Ensemble_LOP","0-130"
12018.4889641129,0.5,1,,1,,"US","Ensemble_LOP","0-130"
13180.2373055974,0.75,1,,1,,"US","Ensemble_LOP","0-130"
18003.2,0.9,1,,1,,"US","Ensemble_LOP","0-130"
22941,0.95,1,,1,,"US","Ensemble_LOP","0-130"
24398.25,0.975,1,,1,,"US","Ensemble_LOP","0-130"
27274,0.99,1,,1,,"US","Ensemble_LOP","0-130"
2586.49,0.01,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
4881.9,0.025,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
5944.0791754534,0.05,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
6946.8642312833,0.1,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
8748.4899998815,0.25,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
12043.6154111227,0.5,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
17056.8824376042,0.75,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
24084.7234051882,0.9,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
26618.7501919923,0.95,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
29679.7137289908,0.975,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
35694.973392,0.99,2,,1,,"US","Ensemble_LOP_untrimmed","0-130"
5619.0998,0.01,4,,1,,"US","team2-modelb","0-130"
5817.7441,0.025,4,,1,,"US","team2-modelb","0-130"
6253.9172,0.05,4,,1,,"US","team2-modelb","0-130"
6608.9729,0.1,4,,1,,"US","team2-modelb","0-130"
7115.4306,0.25,4,,1,,"US","team2-modelb","0-130"
7802.0556,0.5,4,,1,,"US","team2-modelb","0-130"
8908.674,0.75,4,,1,,"US","team2-modelb","0-130"
10624.224,0.9,4,,1,,"US","team2-modelb","0-130"
11817.8908,0.95,4,,1,,"US","team2-modelb","0-130"
12454.0292,0.975,4,,1,,"US","team2-modelb","0-130"
12846.9222,0.99,4,,1,,"US","team2-modelb","0-130"
568.42,0.01,5,,1,,"US","team3-modelc","0-130"
1810.675,0.025,5,,1,,"US","team3-modelc","0-130"
3103.7,0.05,5,,1,,"US","team3-modelc","0-130"
4881.9,0.1,5,,1,,"US","team3-modelc","0-130"
7696.5,0.25,5,,1,,"US","team3-modelc","0-130"
11907.5,0.5,5,,1,,"US","team3-modelc","0-130"
16889,0.75,5,,1,,"US","team3-modelc","0-130"
22941,0.9,5,,1,,"US","team3-modelc","0-130"
24398.25,0.95,5,,1,,"US","team3-modelc","0-130"
25924.3,0.975,5,,1,,"US","team3-modelc","0-130"
29973.4000000001,0.99,5,,1,,"US","team3-modelc","0-130"
11355.9047231667,0.01,6,,1,,"US","team4-modeld","0-130"
11950.42824,0.025,6,,1,,"US","team4-modeld","0-130"
12314.2811666667,0.05,6,,1,,"US","team4-modeld","0-130"
13586.6301483333,0.1,6,,1,,"US","team4-modeld","0-130"
17264.3383166667,0.25,6,,1,,"US","team4-modeld","0-130"
20795.2977416667,0.5,6,,1,,"US","team4-modeld","0-130"
25491.6151375,0.75,6,,1,,"US","team4-modeld","0-130"
28767.1765383333,0.9,6,,1,,"US","team4-modeld","0-130"
32882.1646633333,0.95,6,,1,,"US","team4-modeld","0-130"
39914.186485,0.975,6,,1,,"US","team4-modeld","0-130"
42683.1995681668,0.99,6,,1,,"US","team4-modeld","0-130"
10175.770348226,0.01,7,,1,,"US","team5-modele","0-130"
10439.9381427983,0.025,7,,1,,"US","team5-modele","0-130"
10591.0361898393,0.05,7,,1,,"US","team5-modele","0-130"
10842.4930292158,0.1,7,,1,,"US","team5-modele","0-130"
11423.426233179,0.25,7,,1,,"US","team5-modele","0-130"
12034.5173832202,0.5,7,,1,,"US","team5-modele","0-130"
12571.9545851409,0.75,7,,1,,"US","team5-modele","0-130"
12922.6135952222,0.9,7,,1,,"US","team5-modele","0-130"
13185.8653054535,0.95,7,,1,,"US","team5-modele","0-130"
13278.0359164444,0.975,7,,1,,"US","team5-modele","0-130"
13359.994800844,0.99,7,,1,,"US","team5-modele","0-130"
5893.9171,0.01,1,,2,,"US","Ensemble_LOP","0-130"
6436.3426,0.025,1,,2,,"US","Ensemble_LOP","0-130"
6782.0221,0.05,1,,2,,"US","Ensemble_LOP","0-130"
7193.4547,0.1,1,,2,,"US","Ensemble_LOP","0-130"
11050.9587727003,0.25,1,,2,,"US","Ensemble_LOP","0-130"
12315.7508148533,0.5,1,,2,,"US","Ensemble_LOP","0-130"
13465.113795474,0.75,1,,2,,"US","Ensemble_LOP","0-130"
19219.6,0.9,1,,2,,"US","Ensemble_LOP","0-130"
23518.3,0.95,1,,2,,"US","Ensemble_LOP","0-130"
24959.35,0.975,1,,2,,"US","Ensemble_LOP","0-130"
27061.7833333334,0.99,1,,2,,"US","Ensemble_LOP","0-130"
2809.54,0.01,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
5098.2,0.025,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
6166.7300501164,0.05,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
7137.6695630309,0.1,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
9029.273945722,0.25,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
12335.6193799807,0.5,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
17478.4089115289,0.75,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
24555.1451814966,0.9,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
26978.8399025046,0.95,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
29976.9283111032,0.975,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
36218.3718149999,0.99,2,,2,,"US","Ensemble_LOP_untrimmed","0-130"
5703.0303,0.01,4,,2,,"US","team2-modelb","0-130"
5989.3605,0.025,4,,2,,"US","team2-modelb","0-130"
6436.3426,0.05,4,,2,,"US","team2-modelb","0-130"
6782.0221,0.1,4,,2,,"US","team2-modelb","0-130"
7331.3448,0.25,4,,2,,"US","team2-modelb","0-130"
8043.328,0.5,4,,2,,"US","team2-modelb","0-130"
9197.9442,0.75,4,,2,,"US","team2-modelb","0-130"
10999.1502,0.9,4,,2,,"US","team2-modelb","0-130"
12261.5446,0.95,4,,2,,"US","team2-modelb","0-130"
12907.2823,0.975,4,,2,,"US","team2-modelb","0-130"
13298.091,0.99,4,,2,,"US","team2-modelb","0-130"
535.16,0.01,5,,2,,"US","team3-modelc","0-130"
2016.475,0.025,5,,2,,"US","team3-modelc","0-130"
3338.25,0.05,5,,2,,"US","team3-modelc","0-130"
5098.2,0.1,5,,2,,"US","team3-modelc","0-130"
8034.25,0.25,5,,2,,"US","team3-modelc","0-130"
12451.5,0.5,5,,2,,"US","team3-modelc","0-130"
17344.5,0.75,5,,2,,"US","team3-modelc","0-130"
23518.3,0.9,5,,2,,"US","team3-modelc","0-130"
24959.35,0.95,5,,2,,"US","team3-modelc","0-130"
25751.15,0.975,5,,2,,"US","team3-modelc","0-130"
29683.05,0.99,5,,2,,"US","team3-modelc","0-130"
11584.7658773333,0.01,6,,2,,"US","team4-modeld","0-130"
12162.97524,0.025,6,,2,,"US","team4-modeld","0-130"
12552.1284333333,0.05,6,,2,,"US","team4-modeld","0-130"
13823.12956,0.1,6,,2,,"US","team4-modeld","0-130"
17579.8490166667,0.25,6,,2,,"US","team4-modeld","0-130"
21100.81375,0.5,6,,2,,"US","team4-modeld","0-130"
25830.86955,0.75,6,,2,,"US","team4-modeld","0-130"
29217.8735683333,0.9,6,,2,,"US","team4-modeld","0-130"
33344.36336,0.95,6,,2,,"US","team4-modeld","0-130"
40529.3844975,0.975,6,,2,,"US","team4-modeld","0-130"
43201.7712918334,0.99,6,,2,,"US","team4-modeld","0-130"
